## data read from graph in Anonymous (1978) 'Influenza in a boarding school' Brit. Med. J. 1:578.
## read with read.csv(<file>,comment.char='#',colClasses=c(date="Date"))
## cases are recorded with error of +/- 1 case
## 763 boys were at risk, 512 boys spent time away from class
date,cases,status
1978-01-22,1,confined
1978-01-23,6,confined
1978-01-24,26,confined
1978-01-25,73,confined
1978-01-26,222,confined
1978-01-27,293,confined
1978-01-28,258,confined
1978-01-29,236,confined
1978-01-30,191,confined
1978-01-31,124,confined
1978-02-01,69,confined
1978-02-02,26,confined
1978-02-03,11,confined
1978-02-04,4,confined
1978-01-25,1,convalescent
1978-01-26,8,convalescent
1978-01-27,16,convalescent
1978-01-28,99,convalescent
1978-01-29,160,convalescent
1978-01-30,173,convalescent
1978-01-31,162,convalescent
1978-02-01,150,convalescent
1978-02-02,89,convalescent
1978-02-03,44,convalescent
1978-02-04,22,convalescent
