"year","month","rainfall"
1920,1,13.8
1920,2,84.2
1920,3,211
1920,4,108.6
1920,5,215
1920,6,358.2
1920,7,331
1920,8,317.6
1920,9,485.4
1920,10,201.2
1920,11,0
1920,12,0
1921,1,0
1921,2,7.2
1921,3,235.8
1921,4,151
1921,5,166.8
1921,6,328.8
1921,7,381.6
1921,8,314.2
1921,9,255.6
1921,10,79.6
1921,11,0
1921,12,0
1922,1,0
1922,2,1.6
1922,3,7.6
1922,4,79.6
1922,5,88.4
1922,6,433.8
1922,7,246.4
1922,8,440.8
1922,9,395
1922,10,227
1922,11,5.6
1922,12,0
1923,1,10.8
1923,2,45.6
1923,3,8.2
1923,4,188.2
1923,5,248.4
1923,6,257.2
1923,7,283.4
1923,8,364.4
1923,9,168.4
1923,10,101.8
1923,11,5.6
1923,12,0.2
1924,1,5.6
1924,2,3.6
1924,3,2.6
1924,4,194.6
1924,5,275.6
1924,6,404.2
1924,7,474.8
1924,8,340.2
1924,9,381.4
1924,10,99.2
1924,11,82.8
1924,12,0
1925,1,11.8
1925,2,54.6
1925,3,56.4
1925,4,224.8
1925,5,281.6
1925,6,247.8
1925,7,297.4
1925,8,189.4
1925,9,228.8
1925,10,178.8
1925,11,1
1925,12,0
1926,1,31.8
1926,2,5.6
1926,3,91
1926,4,168.2
1926,5,214.6
1926,6,201.2
1926,7,303.6
1926,8,355
1926,9,514.4
1926,10,162
1926,11,0
1926,12,73.8
1927,1,2
1927,2,14.8
1927,3,39.6
1927,4,224
1927,5,233.2
1927,6,173
1927,7,236.2
1927,8,144
1927,9,184.2
1927,10,62.6
1927,11,8
1927,12,0
1928,1,42.2
1928,2,1.2
1928,3,49.6
1928,4,68.4
1928,5,303
1928,6,271
1928,7,330.6
1928,8,405
1928,9,168.4
1928,10,278.6
1928,11,0.4
1928,12,0
1929,1,16.4
1929,2,0.2
1929,3,31.4
1929,4,137.4
1929,5,170.2
1929,6,292.4
1929,7,280.2
1929,8,279.2
1929,9,317
1929,10,138.4
1929,11,0
1929,12,27.2
1930,1,0
1930,2,3.2
1930,3,111.4
1930,4,123
1930,5,225.4
1930,6,435.6
1930,7,440.2
1930,8,309.8
1930,9,181.2
1930,10,59.2
1930,11,97.2
1930,12,0
