"week","date","country","cases"
1,2014-01-05,"Guinea",2.244
2,2014-01-12,"Guinea",2.244
3,2014-01-19,"Guinea",0.073
4,2014-01-26,"Guinea",5.717
5,2014-02-02,"Guinea",3.954
6,2014-02-09,"Guinea",5.444
7,2014-02-16,"Guinea",3.274
8,2014-02-23,"Guinea",5.762
9,2014-03-02,"Guinea",7.615
10,2014-03-09,"Guinea",7.615
11,2014-03-16,"Guinea",27.392
12,2014-03-23,"Guinea",17.387
13,2014-03-30,"Guinea",27.115
14,2014-04-06,"Guinea",29.29
15,2014-04-13,"Guinea",27.84
16,2014-04-20,"Guinea",16.345
17,2014-04-27,"Guinea",10.917
18,2014-05-04,"Guinea",11.959
19,2014-05-11,"Guinea",11.959
20,2014-05-18,"Guinea",8.657
21,2014-05-25,"Guinea",26.537
22,2014-06-01,"Guinea",47.764
23,2014-06-08,"Guinea",26.582
24,2014-06-15,"Guinea",32.967
25,2014-06-22,"Guinea",18.707
26,2014-06-29,"Guinea",24.322
27,2014-07-06,"Guinea",4.719
28,2014-07-13,"Guinea",7.081
29,2014-07-20,"Guinea",8.527
30,2014-07-27,"Guinea",92.227
31,2014-08-03,"Guinea",26.423
32,2014-08-10,"Guinea",16.549
33,2014-08-17,"Guinea",36.819
34,2014-08-24,"Guinea",92.08
35,2014-08-31,"Guinea",101.03
36,2014-09-07,"Guinea",102.113
37,2014-09-14,"Guinea",83.016
38,2014-09-21,"Guinea",106.674
39,2014-09-28,"Guinea",55.522
22,2014-06-01,"Liberia",3.517
23,2014-06-08,"Liberia",1.043
24,2014-06-15,"Liberia",18
25,2014-06-22,"Liberia",16.34
26,2014-06-29,"Liberia",13.742
27,2014-07-06,"Liberia",10.155
28,2014-07-13,"Liberia",24.856
29,2014-07-20,"Liberia",53.294
30,2014-07-27,"Liberia",70.146
31,2014-08-03,"Liberia",139.269
32,2014-08-10,"Liberia",65.66
33,2014-08-17,"Liberia",240.645
34,2014-08-24,"Liberia",274.826
35,2014-08-31,"Liberia",215.56
36,2014-09-07,"Liberia",388.553
37,2014-09-14,"Liberia",410.299
38,2014-09-21,"Liberia",300.989
39,2014-09-28,"Liberia",240.237
23,2014-06-08,"SierraLeone",5.494
24,2014-06-15,"SierraLeone",57.048
25,2014-06-22,"SierraLeone",76.022
26,2014-06-29,"SierraLeone",36.768
27,2014-07-06,"SierraLeone",81.929
28,2014-07-13,"SierraLeone",102.632
29,2014-07-20,"SierraLeone",69.823
30,2014-07-27,"SierraLeone",81.783
31,2014-08-03,"SierraLeone",99.775
32,2014-08-10,"SierraLeone",88.17
33,2014-08-17,"SierraLeone",90.489
34,2014-08-24,"SierraLeone",161.54
35,2014-08-31,"SierraLeone",168.966
36,2014-09-07,"SierraLeone",186.144
37,2014-09-14,"SierraLeone",220.442
38,2014-09-21,"SierraLeone",258.693
39,2014-09-28,"SierraLeone",299.546
