"profile","country","N","R0","alpha","gamma","rho","k","S_0","E_0","I_0","R_0","loglik","loglik.se"
"k","Guinea",10628972,1.2150117270989,0.619761102553862,1.00503358535015,0.2,0.373737373737374,0.99999537979121,1.29854492826914e-06,3.32166386175201e-06,0,-152.242401143395,0.0292772671378673
"k","Guinea",10628972,1.22031238668536,0.619761102553862,1.00503358535015,0.2,0.353535353535354,0.999995565883783,1.3494821131286e-06,3.08463410434405e-06,0,-152.263279704795,0.0457093588440715
"k","Guinea",10628972,1.21600052166225,0.619761102553862,1.00503358535015,0.2,0.363636363636364,0.99999540247606,1.39776975418338e-06,3.19975418564221e-06,0,-152.266850824248,0.0348891788196292
"k","Guinea",10628972,1.21448574364151,0.619761102553862,1.00503358535015,0.2,0.343434343434343,0.99999537192171,1.34337954896573e-06,3.28469874097481e-06,0,-152.272794899828,0.0347099631799584
"k","Guinea",10628972,1.21654606665704,0.619761102553862,1.00503358535015,0.2,0.383838383838384,0.999995283525348,1.33315361555278e-06,3.38332103598939e-06,0,-152.272977647562,0.0382390631773744
"k","Guinea",10628972,1.2186045483898,0.619761102553862,1.00503358535015,0.2,0.363636363636364,0.999995552461271,1.29715188114547e-06,3.15038684734331e-06,0,-152.2938748907,0.0235781963035792
"k","Guinea",10628972,1.22114068705006,0.619761102553862,1.00503358535015,0.2,0.333333333333333,0.999995593161118,1.4294759600198e-06,2.97736292162479e-06,0,-152.30294507058,0.0260112317807753
"k","Guinea",10628972,1.21770450818444,0.619761102553862,1.00503358535015,0.2,0.393939393939394,0.999995402087017,1.21734177101705e-06,3.38057121207371e-06,0,-152.318923950914,0.0358795847583547
"k","Guinea",10628972,1.21368268383073,0.619761102553862,1.00503358535015,0.2,0.404040404040404,0.999995255098538,1.27273921883218e-06,3.47216224297168e-06,0,-152.320671678204,0.0435166289357959
"k","Guinea",10628972,1.21927073073895,0.619761102553862,1.00503358535015,0.2,0.323232323232323,0.999995464306705,1.35603357439037e-06,3.17965972022263e-06,0,-152.334472080117,0.0486605218136818
"k","Guinea",10628972,1.21837782327821,0.619761102553862,1.00503358535015,0.2,0.414141414141414,0.999995317278656,1.29179059051568e-06,3.39093075394338e-06,0,-152.388811972207,0.0246915013628006
"k","Guinea",10628972,1.21643694914151,0.619761102553862,1.00503358535015,0.2,0.313131313131313,0.9999954329322,1.38977761304355e-06,3.17729018711317e-06,0,-152.40552161946,0.0237717842950214
"k","Guinea",10628972,1.21580725089664,0.619761102553862,1.00503358535015,0.2,0.424242424242424,0.999995301577162,1.37950717816175e-06,3.3189156594018e-06,0,-152.424797451198,0.0178948831093863
"k","Guinea",10628972,1.21451658907463,0.619761102553862,1.00503358535015,0.2,0.303030303030303,0.999995500531415,1.15591948789089e-06,3.34354909679708e-06,0,-152.470163839258,0.031462964134247
"k","Guinea",10628972,1.21688155547139,0.619761102553862,1.00503358535015,0.2,0.434343434343434,0.999995285735263,1.47309563848114e-06,3.24116909805166e-06,0,-152.485445993806,0.0409406513615118
"k","Guinea",10628972,1.21692192894086,0.619761102553862,1.00503358535015,0.2,0.444444444444444,0.999995245481155,1.18458357206559e-06,3.56993527284408e-06,0,-152.530834602567,0.0291121514177897
"k","Guinea",10628972,1.21803594884973,0.619761102553862,1.00503358535015,0.2,0.292929292929293,0.999995443313611,1.23525661188553e-06,3.32142977686866e-06,0,-152.570661839849,0.0376170478060417
"k","Guinea",10628972,1.21380622396221,0.619761102553862,1.00503358535015,0.2,0.454545454545455,0.999995240588144,1.21717238691797e-06,3.54223946938547e-06,0,-152.597251338157,0.0382881065299736
"k","Guinea",10628972,1.21276084610225,0.619761102553862,1.00503358535015,0.2,0.282828282828283,0.999995453102705,1.17407213550921e-06,3.37282515952115e-06,0,-152.64465183964,0.065747689335357
"k","Guinea",10628972,1.21553688819273,0.619761102553862,1.00503358535015,0.2,0.464646464646465,0.999995414550701,1.34374405303525e-06,3.24170524638797e-06,0,-152.680434989095,0.0273456723223973
"k","Guinea",10628972,1.2154442428504,0.619761102553862,1.00503358535015,0.2,0.474747474747475,0.999995192523104,1.26987207404918e-06,3.53760482231807e-06,0,-152.74875226163,0.0227950245808797
"k","Guinea",10628972,1.21501319209632,0.619761102553862,1.00503358535015,0.2,0.484848484848485,0.999995181989595,1.31715169313083e-06,3.50085871151004e-06,0,-152.804068239597,0.0273936334205102
"k","Guinea",10628972,1.21713234040466,0.619761102553862,1.00503358535015,0.2,0.272727272727273,0.999995592846379,1.31206823489325e-06,3.09508538627012e-06,0,-152.844600331553,0.0443699315032538
"k","Guinea",10628972,1.21455787960172,0.619761102553862,1.00503358535015,0.2,0.494949494949495,0.999995129417318,1.34970767295056e-06,3.52087500912711e-06,0,-152.904370608753,0.0325506810592597
"k","Guinea",10628972,1.21356104497305,0.619761102553862,1.00503358535015,0.2,0.262626262626263,0.999995485459845,1.32851692597799e-06,3.18602322953736e-06,0,-152.962844045008,0.0309659118699298
"k","Guinea",10628972,1.21340588096388,0.619761102553862,1.00503358535015,0.2,0.505050505050505,0.999995240141366,1.19538796405198e-06,3.56447066974562e-06,0,-152.999036477549,0.0239009259650971
"k","Guinea",10628972,1.21209734434369,0.619761102553862,1.00503358535015,0.2,0.515151515151515,0.999995114412141,1.07399833109167e-06,3.81158952806299e-06,0,-153.050048337883,0.0268759495294463
"k","Guinea",10628972,1.21329553335145,0.619761102553862,1.00503358535015,0.2,0.252525252525253,0.999995376650929,1.33550607314094e-06,3.28784299823431e-06,0,-153.153522336126,0.0298316302030137
"k","Guinea",10628972,1.21605698323336,0.619761102553862,1.00503358535015,0.2,0.525252525252525,0.999995045676492,1.28172351335261e-06,3.6725999944372e-06,0,-153.162880999066,0.0294764787857834
"k","Guinea",10628972,1.21343360938574,0.619761102553862,1.00503358535015,0.2,0.535353535353535,0.999995203664874,1.32442521892921e-06,3.47190990694147e-06,0,-153.264808934902,0.0189998266653897
"k","Guinea",10628972,1.21548719709475,0.619761102553862,1.00503358535015,0.2,0.545454545454546,0.999995142372804,1.33407658149865e-06,3.52355061473328e-06,0,-153.356275655069,0.027979541011483
"k","Guinea",10628972,1.20913442800662,0.619761102553862,1.00503358535015,0.2,0.242424242424242,0.999995639985861,1.49342054188626e-06,2.86659359688672e-06,0,-153.443691201876,0.0441162313431896
"k","Guinea",10628972,1.21861196735778,0.619761102553862,1.00503358535015,0.2,0.555555555555556,0.999995142374678,1.31944493874894e-06,3.53818038383188e-06,0,-153.463620603182,0.0412506929897617
"k","Guinea",10628972,1.21562983285786,0.619761102553862,1.00503358535015,0.2,0.565656565656566,0.99999515602694,1.37624204433664e-06,3.46773101520627e-06,0,-153.560485584884,0.0303076799435929
"k","Guinea",10628972,1.21875310613741,0.619761102553862,1.00503358535015,0.2,0.232323232323232,0.999995606952265,1.17566854649014e-06,3.2173791882825e-06,0,-153.636022520952,0.0464100503164497
"k","Guinea",10628972,1.21827820485773,0.619761102553862,1.00503358535015,0.2,0.575757575757576,0.999995178353758,1.42306640695976e-06,3.39857983515528e-06,0,-153.660544071657,0.0249884178905712
"k","Guinea",10628972,1.21613238474523,0.619761102553862,1.00503358535015,0.2,0.585858585858586,0.999995087035952,1.35310953674753e-06,3.55985451147114e-06,0,-153.76274211848,0.0239844519698413
"k","Guinea",10628972,1.21750836931181,0.619761102553862,1.00503358535015,0.2,0.595959595959596,0.999995090660402,1.46330219260015e-06,3.44603740524982e-06,0,-153.879536854079,0.0268603762863894
"k","Guinea",10628972,1.21665120750538,0.619761102553862,1.00503358535015,0.2,0.222222222222222,0.999995466127021,1.04682079892635e-06,3.48705218009722e-06,0,-153.967094078162,0.0494183084521354
"k","Guinea",10628972,1.21521821563,0.619761102553862,1.00503358535015,0.2,0.606060606060606,0.999995171066397,1.45635948391154e-06,3.37257411885521e-06,0,-153.997336506741,0.0394532032410137
"k","Guinea",10628972,1.21794872033894,0.619761102553862,1.00503358535015,0.2,0.616161616161616,0.999995200548489,9.77294719907064e-07,3.82215679157575e-06,0,-154.101960877412,0.0137840798896348
"k","Guinea",10628972,1.21610762244402,0.619761102553862,1.00503358535015,0.2,0.626262626262626,0.999995177808308,1.57732770918155e-06,3.24486398257439e-06,0,-154.231592574225,0.035759059134734
"k","Guinea",10628972,1.21761818286663,0.619761102553862,1.00503358535015,0.2,0.636363636363636,0.999995132809752,1.55336532471749e-06,3.31382492325674e-06,0,-154.330304878296,0.0248321695925275
"k","Guinea",10628972,1.21917293708982,0.619761102553862,1.00503358535015,0.2,0.212121212121212,0.999995845298417,1.1849526305666e-06,2.9697489526896e-06,0,-154.337235886099,0.0709808281908691
"k","Guinea",10628972,1.21363293384427,0.619761102553862,1.00503358535015,0.2,0.646464646464647,0.999994983091914,1.48637229287911e-06,3.53053579326842e-06,0,-154.434856056206,0.0389530941646513
"k","Guinea",10628972,1.21730092416727,0.619761102553862,1.00503358535015,0.2,0.656565656565657,0.999995144318711,1.49460881982514e-06,3.36107246876735e-06,0,-154.544739152794,0.0266421882213108
"k","Guinea",10628972,1.21765639524085,0.619761102553862,1.00503358535015,0.2,0.666666666666667,0.99999510907098,1.21927087470639e-06,3.67165814492778e-06,0,-154.663511064476,0.0159039113146963
"k","Guinea",10628972,1.21578518804719,0.619761102553862,1.00503358535015,0.2,0.202020202020202,0.999995622699861,1.06967523670777e-06,3.30762490250209e-06,0,-154.679059207528,0.0511232391843921
"k","Guinea",10628972,1.2158734706101,0.619761102553862,1.00503358535015,0.2,0.676767676767677,0.999995012048114,1.48645168205198e-06,3.50150020370906e-06,0,-154.769705861915,0.0315867503787224
"k","Guinea",10628972,1.21698610025544,0.619761102553862,1.00503358535015,0.2,0.686868686868687,0.999995205169485,1.31027857028171e-06,3.48455194445245e-06,0,-154.887409907568,0.0215490129512633
"k","Guinea",10628972,1.21581475912304,0.619761102553862,1.00503358535015,0.2,0.696969696969697,0.999995150521421,1.38301770879654e-06,3.46646087040963e-06,0,-155.0257912346,0.0229091966313236
"k","Guinea",10628972,1.21586375320122,0.619761102553862,1.00503358535015,0.2,0.707070707070707,0.999995093325181,1.27133283957746e-06,3.63534197900999e-06,0,-155.122429988511,0.0236420323698827
"k","Guinea",10628972,1.2214770930458,0.619761102553862,1.00503358535015,0.2,0.191919191919192,0.999995939581772,1.27612500883139e-06,2.78429321881101e-06,0,-155.173099034635,0.0704485605220557
"k","Guinea",10628972,1.21277581442418,0.619761102553862,1.00503358535015,0.2,0.717171717171717,0.99999497442566,1.23128890665427e-06,3.79428543330527e-06,0,-155.256204761582,0.0302957596488946
"k","Guinea",10628972,1.21346424001048,0.619761102553862,1.00503358535015,0.2,0.727272727272727,0.99999490625003,1.27088004750952e-06,3.82286992285527e-06,0,-155.373287716634,0.0141220016360993
"k","Guinea",10628972,1.21649853523716,0.619761102553862,1.00503358535015,0.2,0.737373737373737,0.99999504707256,1.19655593468953e-06,3.75637150468297e-06,0,-155.486889999814,0.0214893709849744
"k","Guinea",10628972,1.21527605784866,0.619761102553862,1.00503358535015,0.2,0.747474747474748,0.999995021262367,1.16333957805938e-06,3.8153980549416e-06,0,-155.602649534652,0.015354230573574
