## Primary energy production by region (in TJ/year)
## data from The Shift Project Data Portal 
## (http://www.tsp-data-portal.org, accessed 2016-01-05)
## Missing data assumed zero.
## [SOURCES: Etemad & Luciani (1900-1980), 
##  US EIA Historical Statistics (1981-2010)]
"year","source","region","TJ"
1900,"Coal","Asia and Oceania",542522.6
1901,"Coal","Asia and Oceania",612609.6
1902,"Coal","Asia and Oceania",653338.2
1903,"Coal","Asia and Oceania",694323.1
1904,"Coal","Asia and Oceania",731250.6
1905,"Coal","Asia and Oceania",780040.2
1906,"Coal","Asia and Oceania",1047767.6
1907,"Coal","Asia and Oceania",1130345.2
1908,"Coal","Asia and Oceania",1276793.3
1909,"Coal","Asia and Oceania",1201218.8
1910,"Coal","Asia and Oceania",1251276.7
1911,"Coal","Asia and Oceania",1435855
1912,"Coal","Asia and Oceania",1370139.9
1913,"Coal","Asia and Oceania",1474284.8
1914,"Coal","Asia and Oceania",1572693.8
1915,"Coal","Asia and Oceania",1526187.5
1916,"Coal","Asia and Oceania",1590391.7
1917,"Coal","Asia and Oceania",1735868.4
1918,"Coal","Asia and Oceania",1879717.5
1919,"Coal","Asia and Oceania",2050255
1920,"Coal","Asia and Oceania",1944644.7
1921,"Coal","Asia and Oceania",1911511.9
1922,"Coal","Asia and Oceania",1953114.6
1923,"Coal","Asia and Oceania",2085191.7
1924,"Coal","Asia and Oceania",2234719.9
1925,"Coal","Asia and Oceania",2265236.9
1926,"Coal","Asia and Oceania",2226145.1
1927,"Coal","Asia and Oceania",2378993.2
1928,"Coal","Asia and Oceania",2381736
1929,"Coal","Asia and Oceania",2408514.8
1930,"Coal","Asia and Oceania",2338714.8
1931,"Coal","Asia and Oceania",2162425.4
1932,"Coal","Asia and Oceania",2098779.7
1933,"Coal","Asia and Oceania",2269986.5
1934,"Coal","Asia and Oceania",2527022.6
1935,"Coal","Asia and Oceania",2737960.6
1936,"Coal","Asia and Oceania",2968332.6
1937,"Coal","Asia and Oceania",3117059.8
1938,"Coal","Asia and Oceania",3261806.7
1939,"Coal","Asia and Oceania",3538856.7
1940,"Coal","Asia and Oceania",3953305.8
1941,"Coal","Asia and Oceania",4261074.9
1942,"Coal","Asia and Oceania",4174578.2
1943,"Coal","Asia and Oceania",3951273.4
1944,"Coal","Asia and Oceania",3882273.7
1945,"Coal","Asia and Oceania",2529513.9
1946,"Coal","Asia and Oceania",2117185.4
1947,"Coal","Asia and Oceania",2394163.6
1948,"Coal","Asia and Oceania",2521158.9
1949,"Coal","Asia and Oceania",3064541.1
1950,"Coal","Asia and Oceania",3396290.5
1951,"Coal","Asia and Oceania",3803674.3
1952,"Coal","Asia and Oceania",4223623.1
1953,"Coal","Asia and Oceania",4356634.3
1954,"Coal","Asia and Oceania",4628605.5
1955,"Coal","Asia and Oceania",5001049.8
1956,"Coal","Asia and Oceania",5444465.3
1957,"Coal","Asia and Oceania",6166572.5
1958,"Coal","Asia and Oceania",9162423.5
1959,"Coal","Asia and Oceania",10738603.8
1960,"Coal","Asia and Oceania",12784277.3
1961,"Coal","Asia and Oceania",9498072.3
1962,"Coal","Asia and Oceania",9743988.5
1963,"Coal","Asia and Oceania",9891193.8
1964,"Coal","Asia and Oceania",10742090.3
1965,"Coal","Asia and Oceania",11224197.9
1966,"Coal","Asia and Oceania",12003488.4
1967,"Coal","Asia and Oceania",9908599.4
1968,"Coal","Asia and Oceania",11630329.1
1969,"Coal","Asia and Oceania",12369496.5
1970,"Coal","Asia and Oceania",13052278.2
1971,"Coal","Asia and Oceania",13424278.1
1972,"Coal","Asia and Oceania",13911062.8
1973,"Coal","Asia and Oceania",14600867
1974,"Coal","Asia and Oceania",14884192.9
1975,"Coal","Asia and Oceania",16182572
1976,"Coal","Asia and Oceania",16701599.6
1977,"Coal","Asia and Oceania",17846048.9
1978,"Coal","Asia and Oceania",19339243.6
1979,"Coal","Asia and Oceania",19784101.8
1980,"Coal","Asia and Oceania",17925465.4
1981,"Coal","Asia and Oceania",18641594.5
1982,"Coal","Asia and Oceania",19708418.8
1983,"Coal","Asia and Oceania",21054172
1984,"Coal","Asia and Oceania",23219419.9
1985,"Coal","Asia and Oceania",24290870.4
1986,"Coal","Asia and Oceania",25233606.4
1987,"Coal","Asia and Oceania",26317117.7
1988,"Coal","Asia and Oceania",27439223
1989,"Coal","Asia and Oceania",29004287.1
1990,"Coal","Asia and Oceania",29807626.9
1991,"Coal","Asia and Oceania",30754185.8
1992,"Coal","Asia and Oceania",31711072.1
1993,"Coal","Asia and Oceania",32633999.5
1994,"Coal","Asia and Oceania",34340091.5
1995,"Coal","Asia and Oceania",36818549.4
1996,"Coal","Asia and Oceania",37529122.4
1997,"Coal","Asia and Oceania",41354028.7
1998,"Coal","Asia and Oceania",42179988.1
1999,"Coal","Asia and Oceania",41380137
2000,"Coal","Asia and Oceania",43167628.1
2001,"Coal","Asia and Oceania",46633980.8
2002,"Coal","Asia and Oceania",50613948
2003,"Coal","Asia and Oceania",56047798.3
2004,"Coal","Asia and Oceania",61066774.2
2005,"Coal","Asia and Oceania",71690542.3
2006,"Coal","Asia and Oceania",77144352.1
2007,"Coal","Asia and Oceania",82245580.8
2008,"Coal","Asia and Oceania",85712488.2
2009,"Coal","Asia and Oceania",91936641.4
2010,"Coal","Asia and Oceania",98539355.8
2011,"Coal","Asia and Oceania",105601012.6
2012,"Coal","Asia and Oceania",102319365.3
2013,"Coal","Asia and Oceania",104855350.8
2014,"Coal","Asia and Oceania",104407198
1900,"Coal","Europe",11541835.5
1901,"Coal","Europe",11187846.1
1902,"Coal","Europe",11262939.4
1903,"Coal","Europe",11750771.6
1904,"Coal","Europe",11876121.8
1905,"Coal","Europe",12544595.6
1906,"Coal","Europe",12960817.2
1907,"Coal","Europe",13786995.9
1908,"Coal","Europe",13817883.2
1909,"Coal","Europe",13936952.7
1910,"Coal","Europe",14321953
1911,"Coal","Europe",14786706.8
1912,"Coal","Europe",15175643.5
1913,"Coal","Europe",16334468.6
1914,"Coal","Europe",14303614.8
1915,"Coal","Europe",13462217
1916,"Coal","Europe",13983972.1
1917,"Coal","Europe",13679829.4
1918,"Coal","Europe",12676248.2
1919,"Coal","Europe",10768401.2
1920,"Coal","Europe",12224716.2
1921,"Coal","Europe",10839541.2
1922,"Coal","Europe",12979502
1923,"Coal","Europe",12810097.7
1924,"Coal","Europe",13897580.1
1925,"Coal","Europe",13682553.5
1926,"Coal","Europe",11404694.1
1927,"Coal","Europe",14971109.7
1928,"Coal","Europe",14817605.4
1929,"Coal","Europe",15970460.2
1930,"Coal","Europe",14689827.3
1931,"Coal","Europe",13380942.3
1932,"Coal","Europe",12187207.1
1933,"Coal","Europe",12315081.5
1934,"Coal","Europe",13139400.9
1935,"Coal","Europe",13569486.1
1936,"Coal","Europe",14166080.2
1937,"Coal","Europe",15524775.6
1938,"Coal","Europe",15467323.5
1939,"Coal","Europe",15422354.8
1940,"Coal","Europe",16408162.4
1941,"Coal","Europe",16123726
1942,"Coal","Europe",16393162.3
1943,"Coal","Europe",16527403.3
1944,"Coal","Europe",14738300.3
1945,"Coal","Europe",9210331
1946,"Coal","Europe",12519223.1
1947,"Coal","Europe",13727554.8
1948,"Coal","Europe",15013528.9
1949,"Coal","Europe",16218013.3
1950,"Coal","Europe",16831386.3
1951,"Coal","Europe",17752207.3
1952,"Coal","Europe",18381158.6
1953,"Coal","Europe",18581786.6
1954,"Coal","Europe",18867830.5
1955,"Coal","Europe",19423310.7
1956,"Coal","Europe",19806665.1
1957,"Coal","Europe",20058661.1
1958,"Coal","Europe",20056360.1
1959,"Coal","Europe",20099762.3
1960,"Coal","Europe",20147902.2
1961,"Coal","Europe",20432723.8
1962,"Coal","Europe",20706827.9
1963,"Coal","Europe",20967451.8
1964,"Coal","Europe",21380230.7
1965,"Coal","Europe",20862270
1966,"Coal","Europe",20184940.9
1967,"Coal","Europe",19383804.4
1968,"Coal","Europe",19339146.3
1969,"Coal","Europe",19120298.1
1970,"Coal","Europe",19277109.6
1971,"Coal","Europe",19233693.8
1972,"Coal","Europe",18324573.7
1973,"Coal","Europe",18412563.8
1974,"Coal","Europe",17898503.3
1975,"Coal","Europe",18756036.7
1976,"Coal","Europe",18921004.2
1977,"Coal","Europe",19000013.3
1978,"Coal","Europe",19248902.5
1979,"Coal","Europe",19775289.8
1980,"Coal","Europe",16889642.5
1981,"Coal","Europe",16639473.4
1982,"Coal","Europe",17379441.8
1983,"Coal","Europe",17359615.8
