"type","lifespan"
"wildtype",10
"transgenic",39
"wildtype",38
"wildtype",47
"wildtype",11
"wildtype",16
"transgenic",16
"wildtype",16
"wildtype",18
"transgenic",16
"wildtype",18
"wildtype",42
"wildtype",19
"wildtype",9
"wildtype",16
"wildtype",50
"wildtype",11
"wildtype",52
"transgenic",9
"transgenic",5
"transgenic",15
"transgenic",22
"transgenic",16
"wildtype",1
"wildtype",51
"transgenic",36
"wildtype",11
"wildtype",16
"wildtype",21
"transgenic",1
"wildtype",1
"transgenic",9
"wildtype",19
"wildtype",18
"wildtype",10
"transgenic",36
"transgenic",10
"transgenic",1
"wildtype",22
"transgenic",5
"wildtype",2
"transgenic",11
"transgenic",16
"transgenic",25
"transgenic",17
"transgenic",3
"transgenic",17
"wildtype",11
"wildtype",18
"transgenic",39
"wildtype",19
"wildtype",34
"wildtype",18
"transgenic",16
"transgenic",24
"transgenic",13
"wildtype",38
"wildtype",17
"transgenic",25
"transgenic",19
"transgenic",15
"transgenic",22
"wildtype",11
"transgenic",12
"transgenic",16
"transgenic",11
"wildtype",16
"wildtype",51
"transgenic",31
"wildtype",24
"transgenic",16
"transgenic",26
"wildtype",11
"wildtype",50
"wildtype",7
"transgenic",3
"transgenic",16
"transgenic",22
"wildtype",16
"wildtype",16
"wildtype",21
"transgenic",16
"wildtype",25
"transgenic",42
"transgenic",10
"transgenic",1
"transgenic",7
"transgenic",11
"wildtype",3
"wildtype",9
"transgenic",16
"transgenic",28
"wildtype",20
"wildtype",46
"transgenic",33
"transgenic",4
"wildtype",46
"transgenic",8
"wildtype",18
"transgenic",8
"transgenic",17
"wildtype",22
"transgenic",16
"wildtype",14
"transgenic",21
"transgenic",38
"wildtype",36
"transgenic",16
"transgenic",24
"wildtype",4
"wildtype",39
"transgenic",4
"transgenic",11
"wildtype",15
"wildtype",11
"wildtype",24
"transgenic",22
"wildtype",16
"transgenic",21
"transgenic",11
"transgenic",3
"transgenic",40
"wildtype",19
"transgenic",5
"wildtype",16
"wildtype",32
"transgenic",11
"transgenic",50
"transgenic",2
"wildtype",6
"transgenic",1
"transgenic",34
"wildtype",39
"wildtype",16
"wildtype",9
"wildtype",5
"wildtype",5
"transgenic",16
"wildtype",16
"transgenic",11
"transgenic",24
"transgenic",20
"wildtype",16
"transgenic",17
"transgenic",1
"wildtype",11
"transgenic",31
"wildtype",33
"transgenic",5
"transgenic",6
"transgenic",10
"transgenic",16
"transgenic",28
"transgenic",11
"transgenic",4
"transgenic",24
"wildtype",17
"transgenic",17
"wildtype",9
"transgenic",12
"transgenic",12
"wildtype",48
"wildtype",16
"transgenic",16
"transgenic",1
"wildtype",18
"wildtype",16
"wildtype",18
"transgenic",15
"transgenic",4
"wildtype",15
"transgenic",20
"wildtype",19
"transgenic",31
"wildtype",19
"transgenic",25
"transgenic",29
"transgenic",16
"wildtype",19
"wildtype",34
"wildtype",31
"wildtype",19
"wildtype",21
"wildtype",16
"transgenic",2
"transgenic",16
"transgenic",16
