## Crude oil production by region (in Gbbl/year)
## data from The Shift Project Data Portal 
## (http://www.tsp-data-portal.org, accessed 2016-01-05)
## Missing data assumed zero.
"year","region","Gbbl"
1900,"Asia.and.Oceania",0.0040996064
1900,"Central.and.South.America",0.0002737874
1900,"Eurasia",0.0745134084
1900,"Europe",0.004676001
1900,"North.America",0.0619912363
1901,"Asia.and.Oceania",0.0064123896
1901,"Central.and.South.America",0.0002809924
1901,"Eurasia",0.0833178355
1901,"Europe",0.005418109
1901,"North.America",0.0674021404
1902,"Asia.and.Oceania",0.0051082969
1902,"Central.and.South.America",0.0002305578
1902,"Eurasia",0.0791389749
1902,"Europe",0.0065060537
1902,"North.America",0.085817947
1903,"Asia.and.Oceania",0.0090565997
1903,"Central.and.South.America",0.0002665825
1903,"Eurasia",0.0742900555
1903,"Europe",0.0083144917
1903,"North.America",0.0970504362
1904,"Asia.and.Oceania",0.0110523659
1904,"Central.and.South.America",0.0002809924
1904,"Eurasia",0.0772656925
1904,"Europe",0.0104615615
1904,"North.America",0.1131462547
1905,"Asia.and.Oceania",0.0130409272
1905,"Central.and.South.America",0.0003602466
1905,"Eurasia",0.0537343841
1905,"Europe",0.0112901287
1905,"North.America",0.1302867883
1906,"Asia.and.Oceania",0.0136461415
1906,"Central.and.South.America",0.0005115502
1906,"Eurasia",0.0581582124
1906,"Europe",0.0129688779
1906,"Middle.East",7.2e-06
1906,"North.America",0.1225847158
1907,"Asia.and.Oceania",0.0160309741
1907,"Central.and.South.America",0.0007204932
1907,"Eurasia",0.0616309897
1907,"Europe",0.0172269928
1907,"North.America",0.1614265051
1908,"Asia.and.Oceania",0.0170684843
1908,"Central.and.South.America",0.0009222313
1908,"Eurasia",0.0621569498
1908,"Europe",0.0216796409
1908,"North.America",0.1760453124
1909,"Asia.and.Oceania",0.0193236281
1909,"Central.and.South.America",0.0014337815
1909,"Eurasia",0.0661124575
1909,"Europe",0.0258657065
1909,"North.America",0.1792515072
1910,"Asia.and.Oceania",0.0187184138
1910,"Central.and.South.America",0.001383347
1910,"Eurasia",0.0687422577
1910,"Europe",0.0233800049
1910,"North.America",0.2053621814
1911,"Africa",2.2e-05
1911,"Asia.and.Oceania",0.0202530643
1911,"Central.and.South.America",0.0017147739
1911,"Eurasia",0.0652406607
1911,"Europe",0.0232935457
1911,"Middle.East",0.000317017
1911,"North.America",0.2255576062
1912,"Africa",0.0002017381
1912,"Asia.and.Oceania",0.0195109563
1912,"Central.and.South.America",0.0021975043
1912,"Eurasia",0.0660332033
1912,"Europe",0.0229765287
1912,"Middle.East",0.0005908044
1912,"North.America",0.2303056565
1913,"Africa",9.4e-05
1913,"Asia.and.Oceania",0.0207213849
1913,"Central.and.South.America",0.002651415
1913,"Eurasia",0.0649236437
1913,"Europe",0.0226811264
1913,"Middle.East",0.0020029711
1913,"North.America",0.2637941812
1914,"Africa",0.0007204932
1914,"Asia.and.Oceania",0.0214202633
1914,"Central.and.South.America",0.0028315383
1914,"Eurasia",0.0643400442
1914,"Europe",0.0202458594
1914,"Middle.East",0.0027522841
1914,"North.America",0.2758696475
1915,"Africa",0.000216148
1915,"Asia.and.Oceania",0.0227675856
1915,"Central.and.South.America",0.0039699176
1915,"Eurasia",0.0667969261
1915,"Europe",0.0177529528
1915,"Middle.East",0.003292654
1915,"North.America",0.3018650427
1916,"Africa",0.000425091
1916,"Asia.and.Oceania",0.0242806214
1916,"Central.and.South.America",0.0045751319
1916,"Eurasia",0.0711198854
1916,"Europe",0.0137326007
1916,"Middle.East",0.0047120256
1916,"North.America",0.3281270205
1917,"Africa",0.0009942806
1917,"Asia.and.Oceania",0.0241293178
1917,"Central.and.South.America",0.0056414619
1917,"Eurasia",0.0630935909
1917,"Europe",0.0118593183
1917,"Middle.East",0.0065708981
1917,"North.America",0.3817965601
1918,"Africa",0.0020389958
1918,"Asia.and.Oceania",0.0234016197
1918,"Central.and.South.America",0.0064123896
1918,"Eurasia",0.0265861997
1918,"Europe",0.0132930998
1918,"Middle.East",0.0080983437
1918,"North.America",0.4107099529
1919,"Africa",0.0016211097
1919,"Asia.and.Oceania",0.0268383723
1919,"Central.and.South.America",0.0062250614
1919,"Eurasia",0.031968284
1919,"Europe",0.0128608039
1919,"Middle.East",0.0101445445
1919,"North.America",0.469005059
1920,"Africa",0.0010735349
