"time","Halesworth","Lees","Mold","Dalton.in.Furness","Oswestry","Northwich","Bedwellty","Consett","Hastings","Cardiff","Bradford","Hull","Nottingham","Bristol","Sheffield","Leeds","Manchester","Liverpool","Birmingham","London"
1944.01642710472,0,0,0,0,0,0,0,0,0,4,12,0,9,1,1,4,11,6,1,82
1944.03559206023,0,0,0,0,0,0,0,0,0,0,9,3,7,1,5,2,7,9,6,98
1944.05475701574,0,0,0,0,0,0,0,0,0,2,7,0,9,0,0,1,5,7,5,118
1944.07392197125,1,0,0,0,0,0,0,0,0,4,3,2,11,2,1,6,15,9,2,153
1944.09308692676,0,0,0,0,0,0,0,0,0,6,2,2,7,0,2,6,11,19,9,206
1944.11225188227,0,0,0,0,0,0,0,0,0,2,5,2,3,4,3,3,24,19,5,217
1944.13141683778,0,0,0,0,0,1,0,0,0,7,2,1,1,2,3,2,23,30,13,226
1944.15058179329,0,0,0,0,0,0,0,0,0,10,1,0,21,0,3,6,22,23,12,239
1944.1697467488,0,0,0,0,0,0,0,1,0,7,3,1,5,4,3,1,50,23,20,279
1944.18891170431,0,0,0,0,0,0,1,0,0,5,3,7,29,1,6,3,36,19,9,244
1944.20807665982,0,0,0,0,0,0,0,0,0,6,4,0,10,2,4,4,51,48,21,286
1944.22724161533,0,0,0,0,0,0,8,1,0,17,3,8,13,9,4,8,32,35,21,363
1944.24640657084,0,0,0,1,1,0,0,0,2,11,6,4,22,2,9,11,55,75,24,300
1944.26557152635,0,1,0,0,0,0,1,0,0,19,2,3,9,6,10,10,36,48,33,324
1944.28473648186,0,0,0,0,0,1,5,0,0,11,6,7,8,1,7,17,39,72,52,273
1944.30390143737,0,0,0,0,2,2,5,0,0,11,4,9,8,4,16,15,50,81,61,283
1944.32306639288,0,0,0,1,1,0,5,0,0,8,6,2,4,0,10,17,38,56,34,207
1944.34223134839,0,0,0,0,2,2,5,2,0,13,2,10,1,1,9,8,30,52,25,213
1944.3613963039,0,1,0,0,1,0,3,0,0,7,2,2,1,1,7,11,15,50,38,210
1944.38056125941,0,2,0,0,1,0,0,2,0,15,3,4,1,0,12,6,16,55,24,213
1944.39972621492,0,0,0,0,0,0,3,0,0,6,1,14,2,1,9,12,32,81,51,217
1944.41889117043,0,1,0,1,0,0,0,3,0,12,6,6,1,2,11,14,21,70,49,271
1944.43805612594,0,4,0,0,0,0,5,5,0,7,11,7,3,2,12,15,32,86,71,242
1944.45722108145,0,3,0,0,0,0,5,5,0,1,7,0,1,1,12,14,35,90,44,199
1944.47638603696,0,2,0,0,0,0,0,0,0,2,5,1,2,3,12,10,31,84,41,139
1944.49555099247,0,0,0,0,0,1,2,5,0,6,4,3,2,1,14,10,61,95,27,129
1944.51471594798,0,9,0,0,0,2,1,7,0,4,5,2,0,0,13,17,76,109,43,130
1944.53388090349,0,2,0,0,0,0,1,0,0,3,3,6,3,3,13,9,76,147,21,130
1944.553045859,0,2,0,0,0,0,0,2,0,2,3,0,2,2,17,6,59,126,38,90
1944.57221081451,0,9,0,0,0,0,0,0,0,0,3,1,0,1,4,4,98,81,34,73
1944.59137577002,0,6,0,0,0,0,0,3,0,0,1,2,2,2,11,6,94,79,34,47
1944.61054072553,0,4,0,0,0,0,0,0,0,3,1,1,5,4,10,6,96,79,26,36
1944.62970568104,0,4,0,0,0,0,1,0,0,0,1,1,6,1,19,3,78,63,33,39
1944.64887063655,0,0,0,0,0,1,0,0,0,1,0,3,2,0,14,3,59,59,19,21
1944.66803559206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,56,75,19,27
1944.68720054757,2,1,0,0,0,0,0,0,0,1,1,1,6,1,9,1,79,58,11,14
1944.70636550308,0,0,0,0,0,0,0,0,0,0,6,1,7,6,8,1,71,81,21,29
1944.72553045859,0,0,0,0,0,0,0,7,1,2,7,1,2,3,15,0,120,92,32,19
1944.7446954141,0,0,0,0,0,1,0,33,0,0,9,0,8,8,7,0,119,142,42,27
1944.76386036961,0,0,0,0,2,0,0,12,0,0,8,1,4,8,20,3,193,162,72,38
1944.78302532512,0,0,0,0,2,1,0,23,0,0,10,0,8,19,14,6,207,171,86,28
