"time","Halesworth","Lees","Mold","Dalton.in.Furness","Oswestry","Northwich","Bedwellty","Consett","Hastings","Cardiff","Bradford","Hull","Nottingham","Bristol","Sheffield","Leeds","Manchester","Liverpool","Birmingham","London"
1944,1985,3875,5700,10610,10450,18070,28350,35050,38350,215130,261890,229640,262310,405530,474180,451100,614760,666230,993310,2462500
1945,1956,3815,5514,10460,10750,18130,28050,35310,48820,217410,262660,245740,265090,414320,476360,451670,623480,681120,1001900,2601370
1946,2022,4102,6085,10550,10950,19150,28230,36760,59160,224450,279040,278190,283160,417090,500400,481570,668660,734620,1044600,3109240
1947,2082,4178,6316,10270,10420,18490,28050,38140,63490,231080,283200,284600,290398,425600,510200,495300,677700,765300,1072000,3245000
1948,2087,4218,6270,10480,10790,19230,28680,38820,65360,240600,288500,294200,296900,435000,514400,501900,693000,791800,1096100,3339100
1949,2110,4211,6354,10570,11040,18810,28910,38900,64980,243300,291600,296400,300640,439740,513700,504900,699600,800800,1106800,3375470
1950,2171,4247,6409,10560,10970,18330,28930,39130,65690,244600,294300,302100,307000,442600,515000,509700,704500,802300,1117900,3389620
1951,2169,4208,6509,10290,10890,17160,28590,39020,65090,243470,289800,298100,306600,441650,510000,503030,699900,784800,1110900,3358000
1952,2186,4184,6553,10340,10870,16920,28560,38840,64800,244800,288000,299400,309690,443900,510900,504800,705400,790000,1119000,3363000
1953,2249,4133,6560,10280,10860,16470,28480,38740,64510,246600,286600,299400,311502,444200,507600,505500,701800,789700,1118500,3343000
1954,2270,4100,6600,10300,10970,15860,28310,38830,64800,248000,286500,3e+05,311500,444900,503400,507200,699000,786100,1117700,3322000
1955,2310,4100,6590,10320,10960,18600,28120,38770,64770,248400,286400,299600,312000,442500,501100,507400,692200,779900,1111700,3295000
1956,2310,4040,6570,10330,10960,19520,28040,38770,64550,249800,286400,300200,312500,440500,499000,508600,686200,773700,1110800,3273000
1957,2330,4020,6550,10300,11020,19540,28000,38780,64600,251300,287000,300500,312600,439600,498500,509790,682000,768700,1103000,3253880
1958,2350,3970,6600,10290,11100,19470,28080,38890,64220,253300,287800,301100,313000,438000,498800,511600,676900,762400,1095000,3225000
1959,2350,3930,6680,10240,11230,19350,28070,38940,63900,254200,289100,301800,313300,436600,499400,513300,672300,757500,1091500,3204000
1960,2400,3890,6710,10220,11270,19280,28150,39080,65130,255470,289860,302400,313760,433750,499610,514760,665590,754670,1093160,3194480
1961,2250,3730,6840,10330,11380,19440,27460,38720,66180,256900,294210,300790,313280,436000,494650,511650,660300,745810,1110290,3179980
1962,2290,3750,7000,10320,11520,19530,27470,38780,66640,260160,296220,301640,314360,434260,495240,514640,659170,745230,1115080,3185770
1963,2340,3730,7110,10310,11670,19620,27410,38660,66640,260640,297040,301000,315050,433920,495290,513800,654670,739740,1115630,3178870
1964,2440,3680,7350,10360,11940,19460,27200,38000,66690,260340,298220,300320,311850,432070,490930,508790,644500,729140,1106130,3184600

