Long,Lat
-4.2,57.5
-3.8,57.9
-4.1,57.8
-3.6,58.1
-3.2,58.3
-3.1,58.5
-3.1,58.7
-3.6,58.6
-4,58.6
-4.2,58.6
-4.4,58.5
-4.6,58.6
-4.8,58.6
-5,58.7
-5,58.6
-5,58.5
-5.2,58.4
-5.3,58.3
-5.4,58
-5.5,57.8
-5.6,57.7
-5.7,57.6
-5.8,57.5
-5.7,57.4
-5.6,57.4
-5.6,57.3
-5.7,57.2
-5.8,57
-5.8,56.9
-5.9,56.8
-5.9,56.7
-6,56.7
-6,56.7
-6.2,56.7
-6.2,56.6
-6,56.6
-6,56.6
-5.9,56.6
-5.7,56.5
-5.5,56.6
-5.4,56.7
-5,56.8
-5.3,56.6
-5.4,56.5
-5.5,56.4
-5.5,56.2
-5.6,56
-5.6,55.9
-5.5,55.8
-5.5,55.8
-5.5,55.7
-5.6,55.5
-5.7,55.3
-5.6,55.4
-5.5,55.5
-5.4,55.6
-5.3,55.7
-5.4,55.8
-5.5,55.9
-5.5,56
-5.4,56.1
-5.4,56
-5.4,55.9
-5.3,55.8
-5.2,55.9
-5,56
-4.8,56
-4.7,55.9
-4.8,55.9
-4.9,55.9
-4.9,55.8
-4.9,55.7
-4.8,55.6
-4.7,55.5
-4.8,55.3
-4.9,55.2
-5,55
-5,55
-5.2,54.9
-5.2,54.8
-5,54.7
-4.9,54.6
-4.9,54.7
-4.9,54.8
-4.8,54.7
-4.6,54.6
-4.5,54.6
-4.4,54.6
-4.3,54.7
-4.3,54.8
-4.2,54.7
-4,54.7
-3.9,54.7
-3.9,54.8
-3.8,54.8
-3.6,54.8
-3.6,55
-3.6,55
-3.4,54.9
-3.3,54.9
-3,54.9
-3,54.9
-3.2,54.8
-3.3,54.7
-3.5,54.6
-3.6,54.5
-3.5,54.4
-3.3,54.3
-3.2,54.2
-3,54.3
-2.9,54.3
-2.8,54.2
-2.9,54
-2.9,53.9
-3,53.9
-3,53.8
-3,53.7
-3.1,53.6
-3,53.5
-3,53.4
-3.2,53.4
-3.1,53.3
-3.3,53.4
-3.6,53.3
-3.9,53.3
-3.8,53.3
-4.1,53.3
-4,53.3
-4.2,53.3
-4.3,53.4
-4.6,53.4
-4.6,53.3
-4.7,53.3
-4.3,53.1
-4.3,53
-4.5,52.9
-4.6,52.9
-4.7,52.8
-4.6,52.8
-4.5,52.8
-4.4,52.8
-4.4,52.8
-4.2,52.8
-4.2,52.7
-4,52.6
-4,52.5
-4,52.4
-4.2,52.3
-4.4,52.2
-4.5,52.2
-4.7,52
-5,52
-5,51.9
-5.3,51.8
-5.2,51.8
-5.2,51.8
-5.2,51.7
-5,51.6
-4.9,51.7
-4.8,51.7
-4.6,51.7
-4.5,51.7
-4.4,51.6
-4.2,51.5
-4,51.5
-3.9,51.6
-3.8,51.5
-3.5,51.4
-3.3,51.4
-3.2,51.4
-3,51.5
-2.9,51.5
-2.8,51.5
-2.7,51.6
-2.6,51.8
-2.6,51.6
-2.7,51.5
-2.9,51.4
-3,51.2
-3.2,51.2
-3.4,51.2
-3.6,51.3
-3.8,51.3
-3.9,51.3
-4,51.3
-4.2,51.2
-4.3,51
-4.5,51
-4.6,50.8
-4.6,50.8
-4.7,50.7
-4.9,50.6
-5,50.5
-5.2,50.3
-5.3,50.2
-5.5,50.2
-5.7,50
-5.5,50
-5.4,50
-5.3,50
-5,50
-5,50.2
-4.9,50.3
-4.8,50.4
-4.6,50.4
-4.5,50.4
-4.3,50.3
-4,50.3
-3.9,50.2
-3.7,50.2
-3.5,50.4
-3.5,50.6
-3.3,50.8
-3,50.8
-2.8,50.8
-2.6,50.7
-2.4,50.7
-2.3,50.8
-2.2,50.7
-2,50.7
-1.9,50.7
-1.9,50.8
-1.7,50.8
-1.5,50.8
-1.3,50.9
-1.2,50.8
-1,50.8
-0.9,50.8
-0.8,50.7
-0.6,50.8
-0.3,50.8
0,50.8
0.2,50.7
0.4,50.8
0.6,50.8
0.8,50.9
1,50.9
1,50.9
1.2,51.2
1.4,51.3
1.4,51.4
1.2,51.4
1,51.4
0.8,51.4
0.6,51.5
0.8,51.6
0.9,51.7
1,51.8
1.3,52
1.6,52.2
1.7,52.4
1.8,52.5
1.8,52.7
1.6,52.8
1.4,52.9
1.2,52.9
1,52.9
0.8,52.9
0.5,53
0.3,52.8
0.2,52.8
0,52.9
0.2,53
0.4,53.2
0.4,53.3
0.3,53.4
0,53.5
-0.3,53.7
0.1,53.6
0,53.7
-0.1,53.8
-0.2,54
0,54.1
-0.2,54.2
-0.4,54.4
-0.5,54.5
-0.7,54.6
-1,54.7
-1.2,54.7
-1.3,54.8
-1.4,55
-1.5,55.2
-1.6,55.4
-1.7,55.6
-1.7,55.6
-1.8,55.7
-2,55.8
-2,55.9
-2.3,55.9
-2.5,56
-2.6,56.1
-2.8,56
-2.9,55.9
-3,55.9
-3,55.9
-3.3,55.9
-3.4,56
-3.2,56.1
-3,56.2
-3,56.3
-2.8,56.3
-2.6,56.4
-2.8,56.5
-3,56.5
-2.8,56.6
-2.5,56.7
-2.3,56.8
-2,57
-2,57.3
-2,57.4
-1.8,57.5
-1.9,57.7
-2,57.7
-2.3,57.7
-2.5,57.7
-2.7,57.7
-2.9,57.7
-3,57.7
-3.3,57.8
-4.2,57.5
