"","town","loglik","loglik.sd","nfail.max","nfail.min","mu","delay","sigma","gamma","rho","R0","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"1","Bedwellty",-1125.46565401004,0.40278828546099,0,0,0.02,4,45.625,212.854255193727,0.309866943911344,26.2813562380617,8.3520162995523,0.137584740355249,0.927980416441117,0.0249481389816693,0.341838956081924,217.638963684747,0.97482939829511,0.0376308655259107,2.6236888140848e-05,2.99583656191659e-05,0.96231293922033
"2","Birmingham",-3243.92806528451,3.81632345828309,0,0,0.02,4,45.625,50.3921453689539,0.551831654007257,33.1767848086116,7.35344943130698,0.338057329473627,1.00191512943814,0.367410081633017,0.592649878639834,473.789307951142,0.177479590465827,0.035648314935754,8.47172420696638e-05,0.000230412673448478,0.96403655514873
"3","Bradford",-2586.58355862104,0.68031196193494,0,0,0.02,4,45.625,129.071576960867,0.599452772229359,32.0566992279705,8.15626781669014,0.235887724323121,0.990980423051285,0.244295249022966,0.296555606037957,491.935883472049,0.189744793390229,0.036469094501251,7.40826655745303e-06,4.59203233060687e-06,0.96351890519986
"4","Bristol",-2687.98817048666,2.08469591591699,0,0,0.02,4,45.625,101.191886817042,0.617760910900399,27.9658396275562,7.8125838030345,0.221577802254674,1.0308092638332,0.520442344266373,0.426559285281635,469.831413881616,0.188509887617689,0.0329151819578506,1.12912922042244e-05,6.8556947175926e-06,0.967066671055227
"5","Cardiff",-2368.52424925866,2.27171467967465,0,0,0.02,4,45.625,101.671131856288,0.592503385822261,34.0032566005176,8.0121550435853,0.218443905074194,1.00201877186421,0.175806688748837,0.328350397977428,329.560651487109,0.267957021436163,0.0315013685028865,1.08187310329401e-05,7.95939104983364e-06,0.96847985337503
"6","Consett",-1363.68192217241,0.768042486102491,0,0,0.02,4,45.625,237.384693874147,0.650982903479288,33.9368758788248,8.68656215391521,0.21592810558301,1.00862429001719,0.061185636220561,0.268661972890358,214.428869170829,0.391274450216869,0.0330064791062553,1.36831845102899e-05,1.66287117234823e-05,0.96696320899751
"7","Dalton.in.Furness",-728.737368177578,1.32245847559057,0,0,0.02,4,45.625,387.723661634407,0.447136306384971,31.8280311083196,8.93609381523538,0.145552722617973,0.991251312295727,0.034314405887707,0.502661780052543,66.0485796436149,0.851607446229938,0.0356474216470493,2.08149533198449e-05,2.93377543967865e-05,0.964302425645237
"8","Halesworth",-319.28262950259,0.624780569717141,0,0,0.02,4,45.625,229.018477078903,0.760260261129079,28.9297105461721,8.50129816087213,0.413275222917533,1.01763987097644,0.0126634030971637,0.560835791803069,190.755242074106,0.688213695988195,0.0533213461280363,2.0477327080828e-05,2.0908138642979e-05,0.94663726840621
"9","Hastings",-1592.90202759631,1.36673459145145,0,0,0.02,4,44.505345931832,3273.08828046909,0.787443605823872,10,8.20235493474442,0.201299031201979,1,0.0366069330069808,0.91003025040205,219.756456653282,0.390937862247403,0.0949192334102356,4.94188145659414e-06,7.33583607437183e-06,0.905068488872233
"10","Hastings",-1589.09477863392,0.930358040591223,0,0,0.02,4,48.4059916309703,817.21575307102,0.743412734567929,15,8.49525955223363,0.118920131203017,1,0.0421138295996166,0.844155218532073,238.996516339078,0.375437602685108,0.0626420835986084,3.7073786917522e-06,7.29020099186987e-06,0.937346918821707
"11","Hastings",-1586.60484576949,0.986346231677628,0,0,0.02,4,71.2019844361604,292.469228567494,0.707079333551063,20,8.30005969657306,0.127031630637772,1,0.0660467036715959,0.410443510430717,761.448841348125,0.413345547895541,0.0416726642978732,5.60037488812374e-06,2.11967243194374e-06,0.958319615654805
"12","Hastings",-1586.00336806114,1.19980009819013,0,0,0.02,4,50.6901074793654,431.45157369035,0.706108319371273,25,8.75255762431373,0.17343185143231,1,0.049061018092359,0.511452740717981,326.493393867436,0.392061006693647,0.0342882676328018,3.45946466766636e-06,1.66181238245795e-05,0.965691654778707
"13","Hastings",-1587.25050684686,1.30471368038988,0,0,0.02,4,52.6932816709887,90.034266407209,0.722922296791004,30,7.78058705935835,0.282405700752566,1,0.149928271635249,0.154207159745276,116.9080300867,0.387421285884873,0.0240233070604489,5.81907428111484e-06,1.91707669411538e-05,0.975951703098327
"14","Hastings",-1585.30658430175,1.16866320327481,0,0,0.02,4,47.6720659652071,156.936074949531,0.690389850683711,35,8.40389666114102,0.201470808217163,1,0.0899305582783768,0.361541614873077,197.476309216457,0.394814046145793,0.0227241966405305,6.94462705973141e-06,7.04078021257756e-06,0.9772618179522
"15","Hastings",-1586.39667115612,1.67563322952844,0,0,0.02,4,45.6974783161368,74.5939523609359,0.697212720107105,40,7.90049503330484,0.343672484988609,1,0.169291710584989,0.392668641978597,83.4581577564583,0.391880146916724,0.0192529788013753,1.87634784081004e-05,3.1953030039604e-06,0.980725062417213
"16","Hastings",-1587.00234798334,1.21465565053838,0,0,0.02,4,44.6467402502928,79.1258281744868,0.708851900951681,45,8.07126764630668,0.373269254188182,1,0.160646205637454,0.388699091680944,109.611233566376,0.393334749180114,0.0145486365621242,1.24886874189661e-05,5.03002472077091e-06,0.985433844725737
"17","Hastings",-1586.37945217583,1.34111470015812,0,0,0.02,4,45.5370823185531,75.2467676355474,0.669723606967138,50,8.1314884000584,0.342327980840678,1,0.141955058134695,0.310601154212199,100.644375903674,0.396731000452475,0.0130181965527023,5.73937842214211e-06,4.26460550846e-06,0.986971799463365
"18","Hastings",-1586.64798637584,1.39823523130229,0,0,0.02,4,44.176341402126,50.3327320270555,0.697921670360236,55,7.857832039563,0.46400835477597,1,0.180770915087467,0.428974980623722,49.5998787385114,0.409260740799638,0.0134124145807666,1.28631992797319e-05,6.14290959382345e-06,0.986568579310363
"19","Hastings",-1587.12192222459,0.946384951785646,0,0,0.02,4,42.4178473176902,43.6990210807251,0.680818036713265,60,7.81240575578192,0.524754523897442,1,0.272023124403504,0.49950393968939,43.3093954890694,0.415587678410436,0.0124044240429911,1.99346561835502e-05,7.50561595693297e-06,0.987568135684865
"20","Hastings",-1587.20749507157,0.981703278358742,0,0,0.02,4,39.5321575691437,50.6089561096442,0.69504831898268,65,8.02998940992095,0.458233175616939,1,0.179347983841651,0.269239180955775,40.1115833001031,0.405133774295327,0.0130994671290479,7.32788947023458e-06,5.87782559847006e-06,0.986887327155885
"21","Hastings",-1586.53342564675,1.47031622576676,0,0,0.02,4,35.1877666535469,44.3600008629339,0.705964714014177,70,7.98068166434845,0.556860856497096,1,0.24239776740356,0.386386741905387,27.9051616244757,0.395647463029395,0.00994464018997588,4.20167003289585e-06,4.76674326913636e-06,0.99004639139672
"22","Hastings",-1587.91348956177,0.754142479837332,0,0,0.02,4,33.6521901036233,46.8894995460296,0.660101128536099,75,8.1017372170074,0.504090636325795,1,0.206232731150611,0.304190779525531,29.6641605517271,0.406173314254765,0.0122983825804579,1.56749851418782e-05,5.72090144959447e-06,0.987680221532966
