"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3821.05426560085,0.170175385369332,0,0,0.02,22.6268325826753,25.096770989086,0.485026340537376,8.34410470437938,0.740240156642601,0.835555555555555,0.104460227998254,0.709337790740928,59.1327361538396,0.114154496224881,0.0293522465465841,4.69879824600696e-05,6.90036462143842e-05,0.970531761824741
"London2",-3818.6325290053,0.191896656407582,0,0,0.02,24.4854395391458,25.259011657073,0.483953340407223,8.113283521423,0.686501067371185,0.851111111111111,0.00724377096499795,0.780884963193863,68.4963979826466,0.111765272276092,0.0319027387020838,6.23540101246126e-05,5.56805536189338e-05,0.967979226734173
"London3",-3816.53121070076,0.18046869992937,0,0,0.02,25.2410886005998,25.1278883787913,0.481959246730858,8.0085974263239,0.682759187377906,0.866666666666666,0.0027712750507713,0.7754021862146,82.5821601586695,0.113768890046741,0.0314160269069783,5.60771680828836e-05,6.23796018858769e-05,0.968465516323053
"London4",-3813.53548255767,0.144375565930802,0,0,0.02,25.9588042936538,28.2286902065072,0.48204323012528,8.044870609983,0.628481808103944,0.882222222222222,0.153744102574839,0.52972759399244,95.1837741052463,0.113748432343495,0.0301555139230459,4.43180292221709e-05,5.84582989474197e-05,0.969741709748785
"London5",-3810.89931435838,0.194289982765666,0,0,0.02,28.8458371308729,26.086654745353,0.484800250826674,7.79973490300185,0.647194800000789,0.897777777777778,0.149149909398959,0.5401989198752,97.9324576241275,0.111074780767908,0.031444158853637,4.8247195251362e-05,5.55345978867309e-05,0.968452059353225
"London6",-3809.11995873744,0.22725012063881,0,0,0.02,27.5658219121834,28.8486321202565,0.485618075514026,7.75925341844298,0.575404139962502,0.913333333333333,0.203557700713219,0.652440615680749,115.982043389378,0.113521867248593,0.0310923595850856,4.42071383756653e-05,5.62986766259367e-05,0.968807134599912
"London7",-3806.95103503549,0.192511712739813,0,0,0.02,31.0868767699357,27.059814119844,0.488027732361941,7.60825752513845,0.572956659918014,0.928888888888888,0.393789971631466,0.581074822866537,122.019509125945,0.113595100561922,0.030411300525433,3.87707302003593e-05,5.85074946956229e-05,0.96949142124967
"London8",-3806.09907653153,0.205996508326834,0,0,0.02,30.7976226930804,27.4125635830095,0.487173567002434,7.47077335854191,0.587953479583488,0.944444444444444,1.24007206824072,0.588407584984884,121.916406572797,0.112729830208451,0.031357812402178,3.86833655212447e-05,5.8190514411342e-05,0.96854531371789
"London9",-3805.39818259284,0.149148436617826,0,0,0.02,28.645866777543,33.3203989113695,0.488616597844675,7.61466653291947,0.521513367630201,0.95,0.534909970248106,0.607277876668762,140.714124360608,0.11126513229014,0.0307039213456334,4.77427453359742e-05,4.43889637195188e-05,0.96920394694531
"London10",-3804.93462284486,0.157062814029891,0,0,0.02,28.8858500835372,30.4055475275557,0.487543029583813,7.41248702606768,0.554061647642448,0.975555555555556,2.89515147784627,0.557007357848415,129.782099483808,0.115893314182685,0.0297021301573391,5.17411992979894e-05,5.14259984123267e-05,0.97019470264495
"London11",-3804.93462284486,0.157062814029891,0,0,0.02,28.8858500835372,30.4055475275557,0.487543029583813,7.41248702606768,0.554061647642448,0.975555555555556,2.89515147784627,0.557007357848415,129.782099483808,0.115893314182685,0.0297021301573391,5.17411992979894e-05,5.14259984123267e-05,0.97019470264495
"London12",-3804.93462284486,0.157062814029891,0,0,0.02,28.8858500835372,30.4055475275557,0.487543029583813,7.41248702606768,0.554061647642448,0.975555555555556,2.89515147784627,0.557007357848415,129.782099483808,0.115893314182685,0.0297021301573391,5.17411992979894e-05,5.14259984123267e-05,0.97019470264495
"London13",-3805.00679098616,0.203980477883795,0,0,0.02,31.5056075743146,30.1969308525773,0.488615283494164,7.19585423320101,0.525518206135236,1,10,0.59048666406061,150.239348951796,0.113143597918926,0.0295392209709193,3.90896463159195e-05,5.34218457498575e-05,0.970368267537016
"London14",-3805.40229743153,0.151366050697899,0,0,0.02,31.7575362902827,28.9157739373497,0.4882584286359,7.11900572529566,0.524560884067352,1.00666666666667,13.485262152111,0.611623808983911,132.031892699502,0.114085654359073,0.0294714891991801,4.69321583266015e-05,5.14880612909951e-05,0.970430090581202
"London15",-3807.08817938802,0.177072480152008,0,0,0.02,30.1897127661175,28.2603259714971,0.4891348555742,6.95743227019376,0.51708479617022,1.02222222222222,26.3413911244964,0.681286115360299,116.797779879175,0.113738084095305,0.0293889205472391,4.72095772664456e-05,5.50845525319841e-05,0.970508785322962
"London16",-3807.54025208258,0.174148190453691,0,0,0.02,28.7828416052377,28.5053557583861,0.488629719050795,6.97036068321692,0.542090928953541,1.03777777777778,18.3450328096195,0.628542782882229,125.047112688696,0.115710402746325,0.0279223226383708,4.08048965139752e-05,5.26728975124064e-05,0.971984199567603
"London17",-3808.38454605066,0.222959723679027,0,0,0.02,31.4445109098777,26.81190684771,0.49456698321198,6.7389366882368,0.555724876033051,1.05333333333334,30.1922409910284,0.619689395072221,113.842922245705,0.110083386836234,0.0280289927140463,3.9525097183489e-05,5.79341750034327e-05,0.971873548013768
"London18",-3808.42661971911,0.143569210707991,0,0,0.02,29.8259167849456,26.9364445804255,0.489611383688515,6.60514625724343,0.603231773262247,1.08444444444445,51.0037525835551,0.359134063963242,124.351753274863,0.115060190325864,0.024795704391711,4.30592315442649e-05,5.88725528447005e-05,0.9751023638239
