"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3845.70951867252,0.312530755342905,0,0,0.02,93.2314522431346,88.6451374842727,0.50368608119823,7.31089381499087,0.01,1,0.180836031388712,0.855921967557394,1136.31672961261,0.101861266399347,0.0597534269142612,1.76056788704178e-05,1.54864367483315e-05,0.94021348097012
"London2",-3828.51059720704,0.172709605320761,0,0,0.02,191.361991457069,102.528315671528,0.51508675760093,7.10158090485368,0.05,1,1.23870926313671,0.673972606587157,3188.27004752963,0.106125979584874,0.078356970139674,9.91815817851026e-06,1.60046553851702e-05,0.921617107046764
"London3",-3817.30183451,0.174283975613428,0,0,0.02,118.548855332737,101.736858324882,0.510102456097822,7.26289608086876,0.118051401733415,1,1.44726604884631,0.61141481093988,2602.80155573814,0.107894894471354,0.0667182322467754,1.03932097560284e-05,1.71759075477855e-05,0.933254198635921
"London4",-3816.29885292993,0.213845338035096,0,0,0.02,81.2935681819813,66.0567225617646,0.500311378298364,7.14641127036831,0.15,1,1.61294478568491,0.822715389082445,932.530164724297,0.107665653223559,0.0540495963323899,2.36694041296868e-05,1.95848570171303e-05,0.94590714940646
"London5",-3814.35453068996,0.152661613893548,0,0,0.02,57.2610245807588,47.1135010342082,0.496089889597913,7.14786942665692,0.2,1,1.34849580018016,0.805753835778575,453.229947548975,0.107272813731198,0.0423321504264863,2.8276987010559e-05,3.00016500465814e-05,0.957609570936458
"London6",-3811.60155012623,0.235897919484579,0,0,0.02,46.1529449951621,47.1687857719248,0.491771870659705,7.22682492227741,0.25,1,0.636063559985095,0.789042139776918,349.144331168183,0.109756768836809,0.0404503554329705,3.23915613095519e-05,3.26951397105539e-05,0.959484557866008
"London7",-3809.55769485056,0.240537816948871,0,0,0.02,48.056182211355,36.9396811672742,0.491816450930584,7.11893584706538,0.3,1,5.73758012600341,0.660635332252802,294.209703451102,0.111292145735495,0.0355783377463375,3.19426581735839e-05,3.92028111800433e-05,0.96435051678431
"London8",-3807.92524728526,0.125915504840762,0,0,0.02,37.9309925825975,34.0660111827583,0.490393215046638,7.10018848789001,0.362043310521766,1,7.84703430719038,0.869517063810354,196.964353838408,0.111009139102612,0.0353573460292261,4.14322214800141e-05,3.93600086141369e-05,0.964561861740679
"London9",-3806.91001641197,0.083269416909987,0,0,0.02,38.4469034502479,36.656848713458,0.490680563149318,7.19788008957704,0.382353406465875,1,5.34757980670663,0.723409794425036,235.649268104474,0.11064897366966,0.0339425702137033,2.51482352633202e-05,4.55130388660365e-05,0.965986768512167
"London10",-3805.60565080252,0.170629769661431,0,0,0.02,32.3745766328792,35.0033636951691,0.492189378218572,7.25897011120033,0.469060903759124,1,7.1482322882646,0.577717667868979,177.696325322532,0.110287523417634,0.0305544221430695,4.34679633681935e-05,4.24755941020927e-05,0.96935963429946
"London11",-3805.2637200029,0.232630377017378,0,0,0.02,29.7006254289268,35.1988864223373,0.483961966689814,7.36438582061778,0.510550568043241,1,8.71602020902069,0.500044450616598,159.640135531988,0.11250398711564,0.0294643769323641,4.08643560121896e-05,4.75079265758509e-05,0.970447250785048
"London12",-3805.21444975411,0.171690310858494,0,0,0.02,30.1202880769365,28.5172247779418,0.48850169301181,7.20359757959335,0.565717313689932,1,20,0.473738818970855,129.627144920315,0.113789205721795,0.0275757004411852,3.83350027232752e-05,5.9475590078699e-05,0.972326488966012
"London13",-3805.59243408079,0.244895197389881,0,0,0.02,29.2422587743157,30.7410445573263,0.483967315458337,7.33432938636601,0.585430413833166,1,17.8550473499525,0.333396300411065,124.791728047619,0.112212468043858,0.0269085051347519,3.85017188093169e-05,5.55846092016339e-05,0.972997408537236
"London14",-3806.73033340739,0.174960101174357,0,0,0.02,28.9193539256016,27.1767661425038,0.483965792302086,7.29541236378592,0.637273195933061,1,22.9469461993935,0.222297533607377,106.395800908179,0.112425951378314,0.025128534987825,3.98332783438849e-05,6.02155174690247e-05,0.974771416216361
"London15",-3807.23886290083,0.178467938956648,0,0,0.02,25.7434043405624,25.0424886329197,0.486667254150515,7.23302916092061,0.7,1,27.2986341096623,0.380544676780844,88.9709320655485,0.116665288664021,0.0248562004126939,3.42161288759154e-05,7.066988667668e-05,0.975038913571753
"London16",-3809.01799004211,0.234819592985994,0,0,0.02,23.8240724105884,23.8395181593004,0.486398962983188,7.24388191113615,0.75,1,14.7903294235517,0.535244322339086,82.5982938399844,0.117260772839275,0.0250629349228779,5.01461435083918e-05,6.70589252382873e-05,0.974819860008376
"London17",-3811.10238444422,0.256396489802219,0,0,0.02,20.7292225615586,25.6248600921472,0.487832178682475,7.33032842429302,0.8,1,13.1974115763665,0.535444178915237,79.3897635340803,0.119499934216079,0.0247142646395497,4.86931591976806e-05,6.7094818388153e-05,0.975169947382864
"London18",-3813.02795587484,0.246018771122447,0,0,0.02,23.0984245834013,20.5547434006386,0.488781287560687,7.22425838357548,0.85,1,13.3404432185227,0.480263506489075,78.4989744285182,0.122380089662168,0.0235285286878623,4.61384092077214e-05,7.70778561849971e-05,0.976348255046744
"London19",-3815.78288404547,0.265036188831668,0,0,0.02,17.2972097611842,25.9650879615661,0.488484369679414,7.49457578724368,0.9,1,3.33318634328054,0.65409149109798,66.9147245830016,0.121696636776988,0.0238445838905599,6.10515550337228e-05,6.57802586595197e-05,0.976028584295746
"London20",-3817.7692400288,0.303155647927754,0,0,0.02,16.4967487257584,24.0984071824973,0.48641867969393,7.48326310957458,0.95,1,1.64004161693045,0.612472829563098,57.4581334955679,0.121427184222215,0.0233118712182043,6.47126427335526e-05,7.18754316648431e-05,0.9765515407074
"Hastings1",-1590.76883199026,0.150476804488584,0,0,0.02,48.1647796274256,694.468112594855,0.710825626164028,8.98364409683507,0.01,1,0.0380869357005419,0.67533264703899,269.185159326795,0.415760275237115,0.0351159547451758,1.67592668304053e-05,2.06017733535757e-05,0.96484668421464
"Hastings2",-1588.85707977754,0.163260808047384,0,0,0.02,44.4740718005946,562.889617069134,0.69300061690984,9.08740525619755,0.05,1,0.0432428276667018,0.575569062348375,218.174923354274,0.405379601084236,0.0259526241269041,1.18518187917141e-05,1.98533345363491e-05,0.974015670719767
"Hastings3",-1585.96335988912,0.166508047867072,0,0,0.02,44.1851431885962,330.723625678635,0.725396685220954,8.67247028576244,0.1,1,0.060631061788103,0.542906760138668,158.09377560086,0.411370961805604,0.030618398953032,5.2883989194954e-06,4.55251473912212e-06,0.96937176013331
"Hastings4",-1584.51145559729,0.29961520223069,0,0,0.02,44.9605494997053,327.127442318462,0.71054956479844,8.77518795923763,0.15,1,0.0525865376418888,0.626769732593038,204.854599791896,0.400916364360835,0.0285299899351094,4.59343456905222e-06,5.22578624909556e-06,0.971460190844073
"Hastings5",-1584.2294870491,0.259225448355664,0,0,0.02,45.5576429277859,308.284352708946,0.698071358766684,8.77077256857557,0.2,1,0.0584743217123305,0.658794323680566,219.312291150788,0.393913983258359,0.0259889575395921,4.64193493184264e-06,6.05032054624344e-06,0.97400035020493
"Hastings6",-1584.29317162491,0.282420472564107,0,0,0.02,60.3097062054334,66.536748896765,0.688332225238777,7.72431759189482,0.25,1,0.193064903485552,0.385540165740491,149.569603033759,0.41670778984132,0.0204643073579046,6.78761415112696e-06,1.99217852868903e-06,0.979526912849415
"Hastings7",-1583.82389334069,0.297205775763536,0,0,0.02,51.6057261998735,69.5622418585467,0.688257239962995,7.87116830135273,0.3,1,0.179121008514206,0.373126580072251,109.846524702888,0.406722881057345,0.0179642679179515,6.68633065329434e-06,3.56472277686084e-06,0.982025481028618
"Hastings8",-1584.18584712014,0.204593746620732,0,0,0.02,49.2826737453317,65.6985684333798,0.684584261213854,7.91677909231165,0.35,1,0.196328285631011,0.390070765010851,91.0969700500548,0.402777709405699,0.0170282535179648,6.499955850503e-06,3.32203781112994e-06,0.982961924488374
"Hastings9",-1584.39501283417,0.155447897820476,0,0,0.02,42.5692888385272,56.5521082612984,0.671287885301452,7.86023533789675,0.4,1,0.231512045425297,0.301398439588799,51.555323193293,0.418307047416286,0.0159649788904807,6.45927207856245e-06,6.07055900095523e-06,0.98402249127844
"Hastings10",-1584.01546155675,0.295512652862577,0,0,0.02,40.5644230991569,51.2199747585462,0.674415487961865,7.81005703849229,0.45,1,0.263269337909506,0.303014551126622,43.4816939737161,0.412351932306889,0.0153851106478187,6.72771568080664e-06,4.86722128747203e-06,0.984603294415214
"Hastings11",-1584.22030045924,0.223046289843777,0,0,0.02,38.6452424952528,45.3097684363593,0.67962544641925,7.71258050998194,0.5,1,0.298767638375248,0.295398653233874,36.3399098974314,0.407775250814058,0.0149492920412976,7.16491016416903e-06,3.54621047722959e-06,0.98503999683806
"Hastings12",-1584.50644423177,0.202410789530333,0,0,0.02,38.6093679274555,39.5988261465605,0.6845593083362,7.65936204984594,0.55,1,0.311072832155605,0.317075856986255,33.7977282037605,0.40754215022457,0.0144764504704678,7.30154654883489e-06,2.51331893889124e-06,0.985513734664046
"Hastings13",-1584.64137238441,0.301858730617402,0,0,0.02,38.2835183817073,39.5834033746578,0.686692007370546,7.64600094951392,0.6,1,0.320766409362326,0.331507815605375,30.0235048550918,0.414417694708901,0.0140095554610774,6.85912517221814e-06,2.70644121224762e-06,0.985980878972538
"Hastings14",-1585.47840111317,0.160845092632046,0,0,0.02,39.3548791085977,38.7542870406605,0.690139612798152,7.65199925150803,0.65,1,0.314007241240073,0.369893693026411,29.3365126385882,0.420459542446171,0.0137881575941007,7.5542196796862e-06,3.04290566716871e-06,0.986201245280552
"Hastings15",-1586.17251179564,0.192381288802554,0,0,0.02,37.6839297137235,36.121809674962,0.68631387287714,7.66297989546313,0.7,1,0.341884783462503,0.349747193965455,23.1681941236124,0.427751909677338,0.0126432723266555,4.61748295554683e-06,4.0306158696893e-06,0.987348079574518
"Hastings16",-1586.59456763609,0.218873898110587,0,0,0.02,35.3458500579861,33.3151849503487,0.680470722684182,7.6760572472123,0.75,1,0.386027201541913,0.314671895949593,18.4234142939621,0.432256748440499,0.0117836927244586,2.92261418731855e-06,5.65914297045636e-06,0.988207725518384
"Hastings17",-1587.08356686659,0.211947526934834,0,0,0.02,33.2865596369833,31.0046409237488,0.675908614092899,7.70048988841197,0.8,1,0.394868450047575,0.302033628356443,15.8482625992991,0.432665206870547,0.0104987837757823,2.56969323508332e-06,7.51960459846852e-06,0.989491126926384
"Hastings18",-1587.96667455454,0.179834060414048,0,0,0.02,29.2852744181632,27.3547478830791,0.666442870877739,7.72103283209327,0.85,1,0.439319942667622,0.243580946725219,12.3398382396142,0.4330651795583,0.0116575614858149,4.84403404278395e-06,1.29008595446232e-05,0.988324693620597
"Hastings19",-1589.23004536672,0.21674146682803,0,0,0.02,26.8297388314592,26.3672530384199,0.655843115155271,7.76185492158845,0.9,1,0.535930275548692,0.19758750474737,11.6074389444667,0.425979836327093,0.00882012106677405,6.5535000798598e-06,1.22817897984692e-05,0.991161043643347
"Hastings20",-1591.42067051586,0.198105822739641,0,0,0.02,26.439844859269,25.2758243729907,0.662062678146767,7.81264166299713,0.95,1,0.328720943068118,0.308923895154703,12.1151173736615,0.413440917630078,0.0119580690887094,1.9235014305179e-05,2.23177166529455e-05,0.988000378180333
