"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3819.00562746694,0.141765966390773,0,0,0.02,22.3945870997424,21.231489037967,0.489156752714654,7.16404093602624,0.736275282818118,1,37.568910330398,0.605423357413456,41.5655927331666,0.117044339437495,0.0250775980478162,4.80335093046096e-05,7.74325124934009e-05,0.974796935930385
"London2",-3817.23332786546,0.305299265248463,0,0,0.02,21.3341777828642,21.4719788867373,0.48905745029828,7.20018184426783,0.789793235669605,1,26.0019510104866,0.665607802945241,44.7175982894776,0.116166309049701,0.0248871166271651,5.49946750284355e-05,7.33150413389368e-05,0.97498457365647
"London3",-3816.09884642815,0.285799391948543,0,0,0.02,20.9535186087985,22.5689809453041,0.488114087778125,7.20910392103116,0.768227871311361,1,19.476071488167,0.720398689963206,48.1086269986832,0.116744878400806,0.025694088185633,5.13829301060624e-05,7.27642420714301e-05,0.974181764642186
"London4",-3814.12420536354,0.186737235413314,0,0,0.02,21.5194888047448,23.6248296824068,0.48759582080332,7.21371128196556,0.742295644090873,1,24.4005702967743,0.601098275866745,51.7568044848025,0.117338295246337,0.0255306839425027,4.97298118897235e-05,6.7580799807051e-05,0.9743520054458
"London5",-3812.03618215007,0.237888187896623,0,0,0.02,23.7991701578223,22.9231161304897,0.490078087008374,7.15609905697133,0.729603021649919,1,25.185572858099,0.543132603525062,58.5403461775463,0.115684813744984,0.0251251984423361,5.21341832412117e-05,6.79491426411132e-05,0.97475471823178
"London6",-3811.01035418358,0.306618931501242,0,0,0.02,24.5724575683325,23.7627452803104,0.489569114730988,7.16828528635052,0.675785632644933,1,13.9744259663959,0.652150621510723,66.2129774954177,0.113661990330465,0.0262285775764883,4.00472809562985e-05,7.04038009892297e-05,0.973660971341564
"London7",-3808.77228552157,0.209819008355532,0,0,0.02,26.7333710353105,22.7769379792595,0.487435573627998,7.12984600029507,0.676328011388179,1,17.5360622807861,0.625220820134031,76.2002113662986,0.112808744346506,0.0263680701055879,4.28496079064307e-05,7.37601073646961e-05,0.97351532017914
"London8",-3807.24701441227,0.263783713950399,0,0,0.02,25.9106472825876,26.0054558541941,0.490423036912622,7.24859459982237,0.642100669169278,1,12.6992273974649,0.560322493317096,87.6938695691555,0.114792070030612,0.0258059453156339,3.73831257288332e-05,6.5810198915789e-05,0.974090861359721
"London9",-3806.73033340739,0.174960101174357,0,0,0.02,28.9193539256016,27.1767661425038,0.483965792302086,7.29541236378592,0.637273195933061,1,22.9469461993935,0.222297533607377,106.395800908179,0.112425951378314,0.025128534987825,3.98332783438849e-05,6.02155174690247e-05,0.974771416216361
"London10",-3805.59243408079,0.244895197389881,0,0,0.02,29.2422587743157,30.7410445573263,0.483967315458337,7.33432938636601,0.585430413833166,1,17.8550473499525,0.333396300411065,124.791728047619,0.112212468043858,0.0269085051347519,3.85017188093169e-05,5.55846092016339e-05,0.972997408537236
