"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3813.32234731139,1.49997151446791,0,0,0.02,33.4244900057287,73.1818181818182,0.491514624624939,7.6437327026424,0.28739237659305,1,0.655672056982774,0.727907696185986,383.269558409842,0.111872538336723,0.0394881309366996,4.47473692438745e-05,2.20575903321191e-05,0.960445064103724
"London2",-3811.71712168389,1.51240487082831,0,0,0.02,32.513240209789,58.0681818181819,0.49816224805654,7.53902813798697,0.346352040963505,1,1.85940223780879,0.636772507666594,305.982897375411,0.111855826288652,0.0352299578564246,3.93995054074174e-05,3.07348265427274e-05,0.964699907811623
"London3",-3810.63176061421,1.52458344872686,0,0,0.02,27.0014518642709,44.7954545454545,0.494130775634016,7.42584591666556,0.444185134265354,1,0.305759098030174,0.822048161459267,206.185406354606,0.108572200182266,0.033106718654556,4.90660394882583e-05,3.35389846221775e-05,0.966810676321333
"London4",-3808.50662274348,1.20599707348896,0,0,0.02,38.5385937578496,36.5,0.492439682076446,7.21332744804613,0.384247796358927,1,1.28992287138915,0.634723391873221,230.003097818087,0.114522941190918,0.0328739856862853,4.44291773881333e-05,3.46782000208499e-05,0.967046906936305
"London5",-3809.55787972653,1.59622619518296,0,0,0.02,26.8333199158899,30.8116883116883,0.488722086408741,7.28809364170702,0.585681555652913,1,0.402254673956365,0.619935654731452,127.111964397089,0.116334266276786,0.0283763272167946,5.16488248070704e-05,4.67937469208966e-05,0.971525230211476
"London6",-3808.96006809478,1.22249666685478,0,0,0.02,35.6609698028488,26.663961038961,0.486853986803492,7.19901574368569,0.499991633229943,1,0.614533877624355,0.52351545217691,140.980043247724,0.112182628256915,0.0276846058540398,3.44687547935831e-05,5.73225494667223e-05,0.9722236028417
"London7",-3810.45305365966,1.68098084807828,0,0,0.02,28.056170837967,23.5037878787879,0.487571288569573,7.16975787137856,0.646242997722665,1,0.730186659498609,0.599324566636061,108.781732491445,0.115427516124882,0.0265064113749537,4.80447386460637e-05,6.20612466664396e-05,0.973383482639734
"London8",-3810.77234157279,1.46876182869532,0,0,0.02,36.2987023489308,21.0151515151515,0.48897237651537,7.04012726855777,0.612963698166676,1,1.29360609915746,0.5107614223184,107.085992913751,0.115323874373062,0.0253434330449418,3.76008254627409e-05,7.28357077011767e-05,0.974546130421894
"London9",-3812.87902266435,1.56204232546477,0,0,0.02,36.013329606618,19.004132231405,0.492174232192113,7.0406457798706,0.683192474941247,1,0.71962368092811,0.601200773709181,95.740293776202,0.11640886545659,0.0246826661259858,3.67710265408824e-05,8.13038427528397e-05,0.975199259004721
"London10",-3814.80111485624,1.18027738523675,0,0,0.02,32.0809982482001,17.3450413223141,0.481809613036315,7.0577469209,0.784756134799099,1,0.263714790766395,0.516913800918699,75.1242962666,0.120408951725997,0.0240774009079175,2.92544216002925e-05,9.5324924693405e-05,0.97579801974579
"Hastings1",-1586.76470434913,1.29338870040331,0,0,0.02,45.9114187670044,303.28337236534,0.686531000550489,8.80974971072625,0.198784870942653,1,0.061097011045757,0.31360434464226,259.456303048056,0.421958822796747,0.0213214100970729,1.68190498574662e-05,5.70496653815964e-06,0.978656065886528
"Hastings2",-1589.0018199572,1.53445533779507,0,0,0.02,51.057085678862,119.660340789793,0.714217128784528,7.90379557820056,0.188884221351368,1,0.115681810420727,0.923622822094946,193.436540241058,0.424153422991726,0.0299127134361438,9.52429374095281e-06,2.19521143614458e-05,0.970055810155758
"Hastings3",-1585.15256358247,0.748544725117978,0,0,0.02,56.6767053025944,79.2202484279404,0.68511009615861,7.84598444450643,0.247204231186092,1,0.170156627524694,0.552363068837374,128.509530134481,0.408398872674108,0.0244501437130549,7.22107285757359e-06,4.92838556049621e-06,0.97553770682853
"Hastings4",-1586.88280116048,1.03428015494176,0,0,0.02,39.9590347556909,59.7666535675945,0.661721352079004,7.90855349118839,0.349895972681511,1,0.181624770500049,0.535475393722322,70.1125920130131,0.408959953671887,0.0174807667820026,2.24610140993984e-06,2.48403030672323e-06,0.982514503086285
"Hastings5",-1588.83220924373,1.36997135187137,0,0,0.02,173.136012303452,48.1230372098138,0.696432926476333,7.22430435675338,0.191838834511463,1,0.270222379896246,0.536981652854298,201.877442157354,0.385700794785562,0.0265788004340395,1.96232150878142e-05,1.30371693764199e-05,0.973388539181494
