"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3807.3880071867,0.234494467790322,0,0,0.02,34.126382563305,31.5859690858298,0.491835062590855,7.17973291225721,0.466604323890279,1,0.001,0.67931678771802,173.980820046032,0.111979724807337,0.0309279267821456,3.59333648394473e-05,4.97795944163966e-05,0.968986360258598
"London2",-3807.51670078431,0.200316166462838,0,0,0.02,31.1278837844621,30.3834427131094,0.490942496278202,7.24840586542842,0.49713847514048,1,0.00278255940220712,0.633873883089958,148.826207720329,0.1130240198961,0.0286105523001838,3.4136863203038e-05,5.49524686108383e-05,0.971300358368002
"London3",-3807.48095383909,0.27201486470646,0,0,0.02,34.4126009990759,31.3445773263225,0.492003269159641,7.16509339138957,0.465618129818588,1,0.00774263682681127,0.687451788555132,173.617018640322,0.112104666272783,0.0310259983790688,3.4943168277124e-05,5.07057060716921e-05,0.968888352746582
"London4",-3807.09345444335,0.25934038773964,0,0,0.02,31.9671557371556,30.1497354610578,0.490644366881164,7.19309077309658,0.499803996622834,1,0.0215443469003188,0.707717521699831,158.226860366756,0.114557415170068,0.0302193893155186,3.46541689824301e-05,5.36912632896812e-05,0.96969226525221
"London5",-3807.23025446367,0.315399772096325,0,0,0.02,29.8248168260855,29.0366361461249,0.489320364999998,7.22031043074963,0.53266455909311,1,0.0599484250318941,0.71869027952635,145.301121765873,0.116498458619898,0.0294055576691221,3.55736177223453e-05,5.55615416160323e-05,0.970503307171535
"London6",-3807.11616445307,0.226807377261501,0,0,0.02,31.9914895560032,28.8366449626964,0.489585595088887,7.17728142735757,0.517021314254703,1,0.166810053720006,0.735134834346975,148.153398915192,0.113790421184506,0.030199490212174,3.99628292719994e-05,5.18598305195221e-05,0.969708687128035
"London7",-3806.93252805176,0.203418951738346,0,0,0.02,33.003459217308,28.2427428090375,0.489647587072641,7.14870152007349,0.518795652163354,1,0.464158883361278,0.714326108928096,144.748321885185,0.112370351881073,0.0302138344872984,4.28938085169265e-05,5.10282912387411e-05,0.969692243412945
"London8",-3807.18307727577,0.218071868128433,0,0,0.02,34.0771750969311,26.18872859551,0.489841968251111,7.08656390505485,0.531962275125349,1,1.29154966501488,0.684247260660786,132.14279818999,0.110691734269812,0.029826398646918,4.64739223926614e-05,5.34227658671448e-05,0.970073704664821
"London9",-3806.10156430134,0.198720503155662,0,0,0.02,33.3731215785044,30.1674161012334,0.488976443520287,7.15592859298194,0.499328668114093,1,3.59381366380463,0.695280642571099,158.705485797481,0.111679868782035,0.0309878672273571,4.07539814206292e-05,4.95006622730645e-05,0.96892187812895
"London10",-3805.71706034511,0.19701370131567,0,0,0.02,32.7087778090121,32.6836297943379,0.488323397999837,7.20492762892362,0.483413574976984,1,5.99484250318941,0.683417122005968,169.049458508413,0.111616438328036,0.0314843258575814,3.77273777135674e-05,4.68077218404157e-05,0.968431139042864
