"model","district","r.squared","IP","short","long","fatality","R0","loglik","loglik.sd","nfail.max","nfail.min","init.pop","gamma","rho","eps","delta","clin","deltaI","alpha","beta.trend","log.beta1","log.beta2","log.beta3","log.beta4","log.beta5","log.beta6","sd.beta","tau","S.0","I.0","Rs.0","R1.0","R2.0","R3.0","batch","omega","ndata","dof","aic.c","phage.t","phage.r","Phi.0","omega1","omega2","omega3","omega4","omega5","omega6"
"sirs","Bakergange",0.85519809119351,4.65782351159364,Inf,0.0271765295516458,0.00246744196204879,1.34969504352673,-3663.16826616231,0.50368797198439,0,0,2153965,11.1640125201327,0,36.7964569611295,0.02,1,0.0276641615092073,1,-0.00508278962507059,0.0663497794633525,7.07005324095621,-8.5637800265701,1.90437966801717,2.06305460578954,5.25148310975458,2.62618985877581,0.328383607133203,0.712088654427586,0.218102567524701,0,0.0568310776017671,0.00914035679580978,0.00383734365013486,NA,0.00700836912366135,600,17,7361.38807871637,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Bankura",0.567618575829592,7.12931922936019,Inf,0.264239329802318,0.00254174865141856,1.45415670517602,-3038.96144387173,0.369392530643641,0,0,1069668,7.29382404225244,0,3.78444798792109,0.02,1,0.0186372736613025,1,-0.00315424539952219,3.0108067178668,3.1136303121807,0.654721742686321,4.91355133602664,-2.55224562920031,2.59724356354923,3.70946271154148,0.476957241805264,0.961557905883104,0.0281463022133369,0,0.00406754634231558,0.00489699234162457,0.00133125321961617,NA,0.0297318030403488,600,17,6112.97443413521,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Birbhum",0.491747780612282,5.76802151896708,Inf,0.0743704186185403,0.0072305640853162,1.52408107131205,-3082.40124970425,0.338397487396561,0,0,797833,9.0152229545274,0,13.4462064161449,0.02,1,0.0658055699888051,1,-0.00510802306466466,1.71821465125283,3.75318826087186,0.582579962343193,4.35534443299195,0.360180794982584,4.39222361283814,3.99807154604012,0.525469454033069,0.385047974686601,0.00589598997708909,0,0.0696491731968808,0.472764472130887,0.0666423900085458,NA,0.00728510715164492,600,17,6199.85404580025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Bogra",0.545333763480391,3.69636230074787,Inf,0.429340643469614,0.00309709137965207,1.96530280188334,-2849.17585716124,4.35826600478346,0,0,817494,14.0678850635066,0,2.32915288876156,0.02,1,0.0437670178413852,1,-0.0065600786275209,2.3022936400061,4.74522402051659,1.91951201457376,3.4215721793142,3.86026466323454,3.29298800057591,4.90958340707239,0.65592188331863,0.698545582310334,0.0318826885649317,0,0.0299239223597412,0.0700969784735383,0.169550828291453,NA,3.67474368365242e-05,600,17,5733.40326071423,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Burdwan",0.58421642449928,10.4779811716968,Inf,0.161047086542498,0.00858069913243361,1.48476569540881,-3412.43034667823,0.865064389065447,0,0,1391880,4.96278807414379,0,6.2093641149858,0.02,1,0.0431258552940129,1,-0.00879923108788587,1.70486798312635,4.70119086260311,-5.95034222960837,1.64845746290692,1.57665407333693,3.00465854428164,3.4683294117601,0.38044438988199,0.980619371045214,0.0125038706357197,0,0.000345178699916677,0.00543860601141619,0.00109297360774143,NA,0.0178366699868782,600,17,6859.91223974821,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Calcutta",0.75903003102852,3.24959357342269,Inf,0.0193687687223121,0.00176723812466788,1.21538100635111,-3041.72557423346,0.452066290484451,0,0,681560,16.0020011195523,0,51.6295080155527,0.02,1,0.0283648186007749,1,-0.00472923073096656,2.99828628668112,3.80903214480169,2.07247584324269,2.17945468367734,3.28799528396478,3.06083842505894,2.13513338951924,0.229443847638355,0.357473634141505,0.0339781701583039,0,0.064057522773205,0.498639288378065,0.0458513845489225,NA,0.0306458587950914,576,17,6118.54792266047,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Chittatong",0.709286655987888,10.6116497211501,Inf,0.242296095713454,0.0086717186341096,1.5277726364157,-3255.00405445111,5.59439529106613,0,0,1290167,4.90027482685929,0,4.12718164960704,0.02,1,0.0430404737795108,1,-0.0107139045705531,-0.764220703760703,4.8447112223532,-0.451815147922596,0.953965203114436,0.716988960143283,4.58277926876453,2.99428284421002,0.418365726144418,0.97839867509171,0.0189837905112367,0,0.000656169945752414,0.00190567977142547,5.56846798753949e-05,NA,0.00280780904074311,600,17,6545.05965529397,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Dacca",0.848930369065502,2.99980952137514,Inf,0.102212309961833,0.00325200415665343,1.27791684319736,-3793.39958670724,0.258503037128463,0,0,2420656,17.3344339463803,0,9.78355738534238,0.02,1,0.0566208224800543,1,-0.00500600146395291,1.19411069049134,6.15671360035004,-3.37863880932049,3.88004953518584,3.20158032259275,4.3464836045808,3.17945552651577,0.246561239129173,0.661014785622908,0.335282389261998,0,3.47653337494655e-05,0.00361655944873105,5.15003326116479e-05,NA,0.00861650564005157,600,17,7621.85071980623,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Dinapur",0.501437469506924,4.23142279629312,Inf,0.283404117243311,0.0017142869074954,1.63913913249798,-2946.18922725597,0.144991002532757,0,0,1555835,12.2890106953042,0,3.52853024764446,0.02,1,0.0211374114669168,1,-0.00505943132499611,1.86314708983223,4.21057628596655,2.3107315858468,1.82330283240545,3.62991618686603,3.61044206834847,4.32496339903219,0.629983834741163,0.857903640554868,0.0388135375695114,0,0.0171999758731141,0.0330770301947811,0.0530058158077176,NA,0.00361007097693894,600,17,5927.43000090369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Faridpur",0.785222917801307,2.69611341885655,Inf,0.160516924378931,0.00340586099945368,1.30554753853976,-3661.84826961078,0.18638541950271,0,0,1797320,19.2870224361903,0,6.22987266837549,0.02,1,0.0659817594321229,1,-0.00300818088141135,1.41765281919587,6.4539745183267,-3.57822314718949,4.33385921979383,3.04345801347255,4.45812860279139,3.41314793955445,0.39177433229,0.467229491837549,0.486236834866423,0,0.0254943845378539,0.0209495389605981,8.9749797575522e-05,NA,0.00695433764023971,600,17,7358.74808561331,NA,NA,NA,NA,NA,NA,NA,NA,NA
