"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","R0","amplitude","alpha","iota","cohort","tau","eta","S.0","E.0","E1.0","E2.0","I.0","I1.0","R.0"
"London1",-3818.31077226964,2.985395603971,0,0,0.02,369.302474159671,465.494613808974,0.534660153544389,8,0.0774711066074976,1,0.64257950942075,0.846481392811091,0.096312138254085,6696.24022514572,0.129519124753099,3.18427378222142e-06,3.18388254300608e-06,3.18409412860582e-06,5.61048112152526e-06,5.60975457077201e-06,0.870460102760753
"London2",-3815.44751660056,1.30482607719966,0,0,0.02,242.788678721278,94.7251158293875,0.519632415843866,11,0.120337342204321,1,1.57925362979206,0.851183195160282,0.102435462288629,2828.05649467888,0.0962427727073258,4.10155862053886e-06,4.10167023506128e-06,4.10190378390337e-06,9.44495290083272e-06,9.44602012872784e-06,0.903726031187001
"London3",-3809.77126770763,0.843715787537645,0,0,0.02,189.502197778096,68.9273236441803,0.513203707768823,14,0.145997008292727,1,2.39294082849891,0.83957694572458,0.100981935481414,1694.37723169152,0.076919909636405,4.73191137056042e-06,4.73192020435101e-06,4.73212592646477e-06,1.26961715814702e-05,1.26959431835351e-05,0.923040502291327
"London4",-3808.02475137205,1.34009105814911,0,0,0.02,183.153995638261,46.1759594248436,0.508255311204278,17,0.188106333601327,1,3.4671542822218,0.859685046483473,0.104518277381518,981.582039633816,0.0645434099669391,5.07362878797201e-06,5.07292511142375e-06,5.07335648004093e-06,1.67116292034229e-05,1.67136358295676e-05,0.935407944857652
"London5",-3804.61219543377,1.33562803424669,0,0,0.02,167.638322327173,43.6360829548626,0.503880559749671,20,0.200822683422794,1,5.20200605499556,0.693565570632576,0.105165017966483,1070.83944565371,0.0551394164547116,5.88590362451974e-06,5.88609550974014e-06,5.88485544558254e-06,1.87892892149935e-05,1.87893728122304e-05,0.94480534802869
"London6",-3802.80828597956,1.16282928402573,0,0,0.02,163.855885628962,33.4828653271893,0.501177314561168,23,0.248240294804065,1,6.31197146146862,0.72576305465653,0.102724766007992,610.64255649245,0.0490247278480075,4.82473005057714e-06,4.82483072642806e-06,4.82488112848838e-06,2.2926141876049e-05,2.29278165226445e-05,0.95091494375169
"London7",-3800.42601206763,1.39566335001891,0,0,0.02,186.06749298194,28.1619147680581,0.501635107735978,26,0.28074996742866,1,9.62297506695704,0.6804439963981,0.104375846374265,497.647791969366,0.0439348046945407,4.53381945714736e-06,4.53382568782264e-06,4.53344154913796e-06,2.78679477300993e-05,2.78678259266657e-05,0.95599585844511
"London8",-3800.28480153304,1.18589751786408,0,0,0.02,170.170967643742,25.6671795483958,0.496304143634043,29,0.30701096380123,1,12.5000038622503,0.559844729186802,0.1097743006679,409.620166621279,0.039839796339066,5.26176544189748e-06,5.26189773155619e-06,5.26190721540711e-06,2.97539061400407e-05,2.97551676638566e-05,0.96008490901674
"London9",-3799.9549328351,0.948582064477188,0,0,0.02,152.12986651873,23.9109647789409,0.495205658544333,32,0.348197031376535,1,14.7693456839736,0.494473221655121,0.108122338116573,353.165593565958,0.0367183035003052,7.41485218003136e-06,7.4139236636617e-06,7.41375699485143e-06,3.01017210291994e-05,3.01013085492022e-05,0.963199250937275
"London10",-3799.9135634634,0.93968113412544,0,0,0.02,166.312987231331,21.0915148326817,0.492140370144684,35,0.372645411549283,1,11.7017130525234,0.564561162695253,0.108050173322322,263.333974950887,0.0350460274003016,6.32214488555336e-06,6.32213526654394e-06,6.32235032896934e-06,3.43932299592903e-05,3.43933423165368e-05,0.964866219396944
