time,London,Birmingham,Liverpool,Manchester,Leeds,Sheffield,Bristol,Nottingham,Kingston.upon.Hull,Coventry
1944.01923,82,1,6,11,4,1,1,9,0,4
1944.03839495551,98,6,9,7,2,5,1,7,3,0
1944.05755991102,118,5,7,5,1,0,0,9,0,0
1944.07672486653,153,2,9,15,6,1,6,11,2,2
1944.09588982204,206,9,19,11,6,2,0,7,2,5
1944.11505477755,217,5,19,24,3,3,4,3,2,3
1944.13421973306,226,13,30,23,2,3,2,1,1,9
1944.15338468857,239,12,23,22,6,3,0,21,0,7
1944.17254964408,279,20,23,50,1,3,4,5,1,2
1944.19171459959,244,9,19,36,3,6,1,29,7,11
1944.2108795551,286,21,48,51,4,4,2,10,0,4
1944.23004451061,363,21,35,32,8,4,9,13,8,16
1944.24920946612,300,24,75,55,11,9,2,22,4,10
1944.26837442163,324,33,48,36,10,10,6,9,3,6
1944.28753937714,273,52,72,39,17,7,1,8,7,3
1944.30670433265,283,61,81,50,15,16,4,8,9,6
1944.32586928816,207,34,56,38,17,10,0,4,2,9
1944.34503424367,213,25,52,30,8,9,1,1,10,2
1944.36419919918,210,38,50,15,11,7,1,1,2,9
1944.38336415469,213,24,55,16,6,12,0,1,4,1
1944.4025291102,217,51,81,32,12,9,1,2,14,5
1944.42169406571,271,49,70,21,14,11,2,1,6,3
1944.44085902122,242,71,86,32,15,12,2,3,7,4
1944.46002397673,199,44,90,35,14,12,1,1,0,5
1944.47918893224,139,41,84,31,10,12,3,2,1,7
1944.49835388775,129,27,95,61,10,14,1,2,3,5
1944.51751884326,130,43,109,76,17,13,0,0,2,10
1944.53668379877,130,21,147,76,9,13,3,3,6,8
1944.55584875428,90,38,126,59,6,17,2,2,0,8
1944.57501370979,73,34,81,98,4,4,1,0,1,0
1944.5941786653,47,34,79,94,6,11,2,2,2,2
1944.61334362081,36,26,79,96,6,10,4,5,1,0
1944.63250857632,39,33,63,78,3,19,1,6,1,3
1944.65167353183,21,19,59,59,3,14,0,2,3,3
1944.67083848734,27,19,75,56,2,11,0,0,0,1
1944.69000344285,14,11,58,79,1,9,1,6,1,2
1944.70916839836,29,21,81,71,1,8,6,7,1,3
1944.72833335387,19,32,92,120,0,15,3,2,1,2
1944.74749830938,27,42,142,119,0,7,8,8,0,3
1944.76666326489,38,72,162,193,3,20,8,4,1,4
1944.7858282204,28,86,171,207,6,14,19,8,0,20
1944.80499317591,54,85,258,232,4,14,34,19,3,27
1944.82415813142,65,140,196,338,12,23,35,33,6,44
1944.84332308693,80,84,251,384,28,47,45,43,10,94
1944.86248804244,57,166,294,410,37,41,63,87,24,272
1944.88165299795,65,131,381,407,19,43,44,66,15,290
1944.90081795346,110,231,302,387,37,56,81,109,16,402
1944.91998290897,84,223,408,434,28,57,70,123,18,325
1944.93914786448,123,351,436,486,52,96,99,267,9,321
1944.95831281999,114,368,329,515,127,115,52,260,28,282
1944.9774777755,163,502,314,484,66,141,99,272,17,225
1944.99664273101,155,547,246,426,67,134,90,237,54,218
1945.01580768652,240,858,255,478,182,174,139,410,82,172
1945.03497264203,210,934,231,481,107,169,160,301,51,174
