time,London,Birmingham,Liverpool,Manchester,Leeds,Sheffield,Bristol,Nottingham,Kingston.upon.Hull,Coventry
1946.01923077,96,57,6,30,3,8,12,5,7,7
1946.03839572551,91,53,9,43,11,13,15,6,11,6
1946.05756068102,117,68,6,41,4,14,14,2,2,15
1946.07672563653,70,70,6,41,10,16,21,12,3,9
1946.09589059204,118,59,10,NA,11,19,12,3,6,11
1946.11505554755,100,64,11,43,0,22,11,0,15,4
1946.13422050306,112,79,8,64,12,27,22,1,6,16
1946.15338545857,133,102,8,73,11,38,22,6,20,8
1946.17255041408,142,113,16,40,22,33,13,9,10,11
1946.19171536959,138,106,18,54,16,37,28,4,9,4
1946.2108803251,178,125,19,60,11,51,21,8,18,10
1946.23004528061,192,116,12,47,14,49,29,7,24,8
1946.24921023612,200,103,20,44,26,50,15,12,21,3
1946.26837519163,160,160,18,66,37,52,28,7,24,12
1946.28754014714,180,111,19,69,29,39,54,2,13,8
1946.30670510265,176,101,27,52,21,36,14,2,11,7
1946.32587005816,138,104,18,55,20,45,16,6,10,13
1946.34503501367,180,117,32,66,39,67,28,12,34,13
1946.36419996918,160,108,35,78,45,32,23,14,13,10
1946.38336492469,188,125,27,73,36,59,18,7,29,11
1946.4025298802,182,138,36,69,43,31,15,8,22,6
1946.42169483571,193,132,32,66,36,18,11,13,37,8
1946.44085979122,162,96,20,57,49,30,17,9,24,8
1946.46002474673,150,103,21,25,34,20,14,9,17,14
1946.47918970224,142,113,15,40,54,32,21,19,14,16
1946.49835465775,157,107,33,42,33,28,16,16,6,17
1946.51751961326,158,137,29,43,48,27,18,14,8,15
1946.53668456877,148,165,25,67,47,34,17,4,17,10
1946.55584952428,167,174,NA,70,49,33,24,8,16,29
1946.57501447979,166,173,41,46,48,28,22,11,19,13
1946.5941794353,159,146,34,47,30,27,7,11,12,24
1946.61334439081,121,120,38,36,27,18,2,18,11,8
1946.63250934632,148,142,33,53,42,18,3,6,11,14
1946.65167430183,170,124,49,34,42,12,6,10,21,16
1946.67083925734,124,109,66,52,52,11,10,14,9,27
1946.69000421285,130,111,37,34,44,15,13,8,8,27
1946.70916916836,142,90,32,37,42,11,7,17,13,20
1946.72833412387,110,121,41,28,26,4,5,3,21,10
1946.74749907938,81,88,30,27,35,9,3,4,24,14
1946.76666403489,90,83,48,10,28,9,4,6,12,6
1946.7858289904,108,71,34,21,27,9,6,0,15,11
1946.80499394591,101,62,55,19,26,4,3,8,9,10
1946.82415890142,94,73,29,30,23,9,5,10,11,15
1946.84332385693,83,63,60,29,42,9,4,2,9,11
1946.86248881244,74,75,49,12,39,13,3,5,8,15
1946.88165376795,99,91,53,27,46,6,3,6,8,3
1946.90081872346,106,65,77,19,48,1,5,8,7,10
1946.91998367897,109,105,82,32,50,5,6,12,19,10
1946.93914863448,105,75,62,15,53,8,6,11,6,12
1946.95831358999,96,67,81,28,44,4,3,4,8,18
1946.9774785455,103,81,73,33,45,9,3,10,4,5
1946.99664350101,82,56,44,19,15,4,5,7,15,2
1947.01580845652,115,89,86,36,37,6,8,19,6,21
1947.03497341203,132,109,70,32,28,5,4,18,11,11
1947.05413836754,158,89,121,42,45,8,4,47,12,11
1947.07330332305,196,102,83,42,48,4,10,12,22,23
1947.09246827856,156,70,62,36,40,6,12,36,14,10
1947.11163323407,161,69,69,47,20,10,16,15,7,22
1947.13079818958,180,3,62,44,45,4,12,18,1,0
1947.14996314509,212,87,72,42,51,15,7,13,7,29
1947.1691281006,224,103,75,38,56,10,10,21,2,13
1947.18829305611,262,87,75,69,53,18,8,9,10,37
1947.20745801162,252,113,74,50,51,22,11,9,13,23
1947.22662296713,230,93,91,20,52,12,11,9,10,18
1947.24578792264,267,56,78,48,41,13,12,7,6,25
1947.26495287815,192,69,73,61,52,13,11,9,2,12
1947.28411783366,221,57,43,35,25,9,6,7,3,18
1947.30328278916,255,90,86,55,40,14,12,11,14,11
1947.32244774467,256,75,52,56,27,24,4,12,17,16
1947.34161270018,250,60,63,56,25,11,6,7,17,16
1947.36077765569,300,51,4,79,33,9,13,7,7,11
1947.3799426112,263,67,44,68,52,15,16,6,7,9
1947.39910756671,226,77,42,70,37,15,9,11,2,17
1947.41827252222,240,67,24,46,33,13,5,5,2,5
1947.43743747773,231,84,32,60,32,11,14,4,7,14
1947.45660243324,262,97,35,57,27,10,14,3,11,4
1947.47576738875,276,88,28,60,36,6,16,12,6,7
1947.49493234426,188,90,27,46,18,7,12,6,2,7
1947.51409729977,287,100,35,90,34,6,7,9,10,13
1947.53326225528,267,111,29,52,26,11,16,6,10,8
1947.55242721079,217,119,23,60,21,18,12,9,9,12
1947.5715921663,233,123,17,63,14,14,9,17,5,2
1947.59075712181,195,64,16,50,16,10,21,5,10,3
1947.60992207732,156,111,14,38,3,10,11,1,3,5
1947.62908703283,203,88,19,68,16,13,16,4,8,7
1947.64825198834,180,97,18,48,15,20,13,5,10,7
1947.66741694385,193,81,12,41,11,16,22,4,8,13
1947.68658189936,177,60,26,64,17,5,29,10,7,3
1947.70574685487,145,86,15,61,20,14,21,1,1,7
1947.72491181038,131,81,5,41,6,6,22,3,17,9
1947.74407676589,117,47,5,35,20,8,18,8,15,3
1947.7632417214,116,48,6,28,10,5,15,6,10,2
1947.78240667691,73,51,1,23,14,10,10,9,11,4
1947.80157163242,87,42,2,23,7,4,29,5,9,7
1947.82073658793,78,61,5,17,7,4,15,12,6,2
1947.83990154344,59,42,5,28,10,12,5,15,2,4
1947.85906649895,73,44,5,29,6,17,12,5,3,7
1947.87823145446,70,39,5,32,7,21,16,7,9,4
1947.89739640997,86,42,9,30,7,29,14,6,6,5
1947.91656136548,105,53,7,27,9,24,14,6,7,2
1947.93572632099,102,52,3,17,1,33,21,13,1,7
1947.9548912765,92,59,5,37,8,53,40,16,5,6
1947.97405623201,122,47,3,26,5,34,41,15,9,8
1947.99322118752,67,31,4,14,1,27,17,3,1,4
1948.01238614303,135,88,6,16,5,40,33,15,14,16
1948.03155109854,163,83,6,20,5,51,48,10,3,6
1948.05071605405,160,103,9,36,11,62,37,1,20,4
1948.06988100956,158,118,3,NA,6,55,35,25,22,10
1948.08904596507,191,130,1,25,7,81,62,17,40,6
1948.10821092058,172,109,10,35,9,52,38,14,13,8
1948.12737587609,193,147,2,22,13,53,51,15,38,14
1948.1465408316,155,152,5,32,9,79,58,32,23,17
1948.16570578711,158,137,4,42,8,84,53,14,45,11
1948.18487074262,217,148,6,40,8,75,71,32,49,17
1948.20403569813,236,216,4,51,14,98,85,43,49,18
1948.22320065364,246,166,5,62,5,84,49,29,59,11
1948.24236560915,192,163,6,43,14,60,41,27,48,9
1948.26153056466,166,123,4,33,21,48,58,24,46,3
1948.28069552017,231,178,5,46,13,74,53,64,39,8
1948.29986047568,286,196,16,74,20,84,72,38,69,8
1948.31902543119,271,272,17,68,37,61,72,47,80,4
1948.3381903867,253,202,4,63,18,57,54,40,75,14
1948.35735534221,221,150,15,55,17,40,44,34,89,9
1948.37652029772,217,195,14,31,29,46,50,30,64,13
1948.39568525323,228,156,11,36,19,62,48,28,41,4
1948.41485020874,265,139,12,46,21,49,44,24,43,9
1948.43401516425,243,128,23,46,23,31,47,34,48,15
1948.45318011976,248,152,22,57,46,36,50,38,69,2
1948.47234507527,273,128,35,62,17,34,27,13,58,14
1948.49151003078,217,104,23,54,37,18,33,23,52,2
1948.51067498629,223,108,29,55,41,39,28,32,70,7
1948.5298399418,259,117,44,63,41,28,38,17,39,7
1948.54900489731,258,113,60,73,55,32,51,35,66,7
1948.56816985282,274,107,56,65,59,41,34,22,41,9
1948.58733480833,275,103,73,67,54,20,43,20,45,13
1948.60649976384,263,90,87,71,43,34,19,26,40,8
1948.62566471935,228,118,90,58,85,21,48,18,25,13
1948.64482967486,315,127,103,52,64,32,26,19,38,17
1948.66399463037,248,96,103,49,50,27,17,52,36,14
1948.68315958588,238,109,88,59,76,27,28,29,26,6
1948.70232454139,229,114,108,54,38,15,30,25,26,9
1948.7214894969,166,80,104,52,54,38,19,21,32,16
1948.74065445241,170,107,109,32,39,18,16,13,34,10
1948.75981940792,157,85,110,37,18,21,25,32,20,3
1948.77898436343,127,63,98,55,33,18,14,21,22,11
1948.79814931894,146,73,92,63,22,13,13,26,14,9
1948.81731427445,120,73,120,42,33,11,12,18,18,9
1948.83647922996,127,56,126,47,41,17,10,7,18,7
1948.85564418547,111,60,140,58,31,19,10,15,12,12
1948.87480914098,152,76,188,64,27,8,4,18,19,5
1948.89397409649,168,99,182,35,25,9,12,24,12,19
1948.913139052,162,58,163,54,31,5,11,34,13,7
1948.93230400751,141,82,178,76,35,13,9,17,22,10
1948.95146896302,187,80,213,50,42,9,11,29,10,13
1948.97063391853,154,71,169,69,41,11,6,19,9,13
1948.98979887404,100,59,91,41,33,10,7,19,10,6
1949.00896382955,133,89,176,72,19,13,6,12,12,19
1949.02812878506,168,76,155,39,54,11,6,27,15,17
1949.04729374057,172,139,200,69,64,17,5,21,18,14
1949.06645869608,195,136,196,92,49,7,4,27,22,39
1949.08562365159,168,111,184,89,57,8,3,29,24,34
1949.1047886071,176,128,180,85,66,6,6,33,24,54
1949.12395356261,212,124,181,66,65,12,9,22,23,57
1949.14311851812,191,108,159,104,73,10,4,35,15,31
1949.16228347363,195,115,149,82,60,11,6,14,22,39
1949.18144842914,218,96,133,66,39,7,2,20,23,29
1949.20061338465,189,95,131,65,52,9,5,9,36,34
1949.21977834016,221,96,89,65,42,17,5,12,16,23
1949.23894329567,181,102,119,75,56,8,2,9,27,16
1949.25810825118,247,132,103,86,45,4,13,10,28,28
1949.27727320669,171,135,70,80,41,6,11,9,39,15
1949.2964381622,194,105,44,84,44,9,8,13,24,29
1949.31560311771,157,97,61,71,24,6,8,18,34,32
1949.33476807322,167,160,72,63,73,6,12,9,40,28
1949.35393302873,196,154,46,70,53,8,6,14,36,25
1949.37309798424,183,169,26,76,38,14,17,12,33,30
1949.39226293975,155,155,46,72,61,9,13,10,51,23
1949.41142789526,141,160,40,96,45,8,12,4,28,25
1949.43059285077,111,78,36,77,38,5,5,4,36,19
1949.44975780628,102,108,24,49,31,9,13,4,23,6
1949.46892276179,111,128,32,66,49,11,14,4,29,6
