# Wisconsin data for Martinez-Bakker et al (2015) "Unraveling the Transmission Ecology of Polio"
"time" "cases" "births" "pop"
"1" 1931.08333333333 7 4698 2990000
"2" 1931.16666666667 0 4354 2990000
"3" 1931.25 7 4836 2990000
"4" 1931.33333333333 3 4468 2990000
"5" 1931.41666666667 4 4712 2990000
"6" 1931.5 1 4607 2990000
"7" 1931.58333333333 17 4813 2990000
"8" 1931.66666666667 132 4754 2990000
"9" 1931.75 296 4503 2990000
"10" 1931.83333333333 207 4338 2990000
"11" 1931.91666666667 53 4032 2990000
"12" 1932 9 4305 2990000
"13" 1932.08333333333 7 4616 3021000
"14" 1932.16666666667 3 4410 3021000
"15" 1932.25 1 4565 3021000
"16" 1932.33333333333 4 4069 3021000
"17" 1932.41666666667 4 4517 3021000
"18" 1932.5 4 4601 3021000
"19" 1932.58333333333 8 4604 3021000
"20" 1932.66666666667 5 4672 3021000
"21" 1932.75 7 4431 3021000
"22" 1932.83333333333 10 4348 3021000
"23" 1932.91666666667 3 4134 3021000
"24" 1933 2 4140 3021000
"25" 1933.08333333333 1 4389 3040000
"26" 1933.16666666667 2 4089 3040000
"27" 1933.25 3 4582 3040000
"28" 1933.33333333333 3 4458 3040000
"29" 1933.41666666667 2 4430 3040000
"30" 1933.5 1 4231 3040000
"31" 1933.58333333333 1 4386 3040000
"32" 1933.66666666667 5 4264 3040000
"33" 1933.75 14 3936 3040000
"34" 1933.83333333333 11 3814 3040000
"35" 1933.91666666667 16 3837 3040000
"36" 1934 8 3993 3040000
"37" 1934.08333333333 2 4240 3054000
"38" 1934.16666666667 0 3904 3054000
"39" 1934.25 3 4359 3054000
"40" 1934.33333333333 1 4175 3054000
"41" 1934.41666666667 1 4607 3054000
"42" 1934.5 3 4356 3054000
"43" 1934.58333333333 3 4568 3054000
"44" 1934.66666666667 10 4557 3054000
"45" 1934.75 39 4326 3054000
"46" 1934.83333333333 60 4236 3054000
"47" 1934.91666666667 9 4056 3054000
"48" 1935 11 4035 3054000
"49" 1935.08333333333 1 4268 3070000
"50" 1935.16666666667 1 4016 3070000
"51" 1935.25 2 4572 3070000
"52" 1935.33333333333 2 4442 3070000
"53" 1935.41666666667 4 4514 3070000
"54" 1935.5 3 4564 3070000
"55" 1935.58333333333 5 4856 3070000
"56" 1935.66666666667 16 4553 3070000
"57" 1935.75 19 4383 3070000
"58" 1935.83333333333 4 4235 3070000
"59" 1935.91666666667 6 4022 3070000
"60" 1936 2 4137 3070000
"61" 1936.08333333333 0 4260 3082000
"62" 1936.16666666667 1 4150 3082000
"63" 1936.25 3 4781 3082000
"64" 1936.33333333333 1 4322 3082000
"65" 1936.41666666667 2 4474 3082000
"66" 1936.5 1 4470 3082000
"67" 1936.58333333333 0 4678 3082000
"68" 1936.66666666667 1 4712 3082000
"69" 1936.75 13 4379 3082000
"70" 1936.83333333333 19 4287 3082000
"71" 1936.91666666667 2 4010 3082000
"72" 1937 1 4090 3082000
"73" 1937.08333333333 2 4373 3088000
"74" 1937.16666666667 0 4008 3088000
"75" 1937.25 0 4585 3088000
"76" 1937.33333333333 1 4321 3088000
"77" 1937.41666666667 1 4533 3088000
"78" 1937.5 2 4633 3088000
"79" 1937.58333333333 5 4824 3088000
"80" 1937.66666666667 35 4971 3088000
"81" 1937.75 131 4505 3088000
"82" 1937.83333333333 99 4233 3088000
"83" 1937.91666666667 13 4162 3088000
"84" 1938 7 4395 3088000
"85" 1938.08333333333 4 4471 3098000
"86" 1938.16666666667 1 4221 3098000
"87" 1938.25 1 4908 3098000
"88" 1938.33333333333 3 4429 3098000
"89" 1938.41666666667 1 4843 3098000
"90" 1938.5 2 4490 3098000
"91" 1938.58333333333 1 4931 3098000
"92" 1938.66666666667 11 4943 3098000
"93" 1938.75 17 4624 3098000
"94" 1938.83333333333 2 4689 3098000
"95" 1938.91666666667 3 4198 3098000
"96" 1939 0 4257 3098000
"97" 1939.08333333333 1 4591 3121000
"98" 1939.16666666667 0 4216 3121000
"99" 1939.25 2 5003 3121000
"100" 1939.33333333333 1 4482 3121000
"101" 1939.41666666667 0 4722 3121000
"102" 1939.5 1 4629 3121000
"103" 1939.58333333333 2 4925 3121000
"104" 1939.66666666667 9 4683 3121000
"105" 1939.75 28 4559 3121000
"106" 1939.83333333333 29 4372 3121000
"107" 1939.91666666667 20 3979 3121000
"108" 1940 10 4007 3121000
"109" 1940.08333333333 7 4368 3143000
"110" 1940.16666666667 10 4316 3143000
"111" 1940.25 9 4775 3143000
"112" 1940.33333333333 1 4495 3143000
"113" 1940.41666666667 1 4753 3143000
"114" 1940.5 5 4666 3143000
"115" 1940.58333333333 8 4863 3143000
"116" 1940.66666666667 33 4935 3143000
"117" 1940.75 128 4594 3143000
"118" 1940.83333333333 142 4604 3143000
"119" 1940.91666666667 105 4237 3143000
"120" 1941 45 4272 3143000
"121" 1941.08333333333 24 4472 3140000
"122" 1941.16666666667 6 4194 3140000
"123" 1941.25 1 4985 3140000
"124" 1941.33333333333 5 4658 3140000
"125" 1941.41666666667 0 4628 3140000
"126" 1941.5 2 4872 3140000
"127" 1941.58333333333 0 5383 3140000
"128" 1941.66666666667 14 5160 3140000
"129" 1941.75 21 4937 3140000
"130" 1941.83333333333 15 4876 3140000
"131" 1941.91666666667 25 4450 3140000
"132" 1942 2 4527 3140000
"133" 1942.08333333333 3 5005 3053000
"134" 1942.16666666667 2 4739 3053000
"135" 1942.25 1 5298 3053000
"136" 1942.33333333333 1 4950 3053000
"137" 1942.41666666667 2 4795 3053000
"138" 1942.5 1 5140 3053000
"139" 1942.58333333333 0 5485 3053000
"140" 1942.66666666667 7 5657 3053000
"141" 1942.75 6 5779 3053000
"142" 1942.83333333333 11 5924 3053000
"143" 1942.91666666667 10 5625 3053000
"144" 1943 2 5585 3053000
"145" 1943.08333333333 2 5733 3014000
"146" 1943.16666666667 1 5213 3014000
"147" 1943.25 4 5773 3014000
"148" 1943.33333333333 0 5442 3014000
"149" 1943.41666666667 4 5597 3014000
"150" 1943.5 1 5308 3014000
"151" 1943.58333333333 1 5647 3014000
"152" 1943.66666666667 11 5642 3014000
"153" 1943.75 72 5298 3014000
"154" 1943.83333333333 74 5254 3014000
"155" 1943.91666666667 22 4784 3014000
"156" 1944 10 4759 3014000
